state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,495,4,2021-01-03
PR,16,1,2021-01-03
RI,28,0,2021-01-03
SC,247,1,2021-01-03
SD,18,0,2021-01-03
TN,0,0,2021-01-03
TX,1691,35,2021-01-03
UT,59,6,2021-01-03
VA,249,3,2021-01-03
VI,0,0,2021-01-03
VT,4,0,2021-01-03
WA,94,1,2021-01-03
WI,203,1,2021-01-03
AK,8,0,2021-01-03
AL,390,2,2021-01-03
AR,174,0,2021-01-03
AZ,529,8,2021-01-03
CA,2189,33,2021-01-03
CO,118,1,2021-01-03
CT,96,0,2021-01-03
DC,34,4,2021-01-03
DE,40,1,2021-01-03
FL,997,21,2021-01-03
GA,966,19,2021-01-03
HI,9,1,2021-01-03
IA,64,4,2021-01-03
ID,53,0,2021-01-03
IL,366,3,2021-01-03
IN,332,6,2021-01-03
KS,129,0,2021-01-03
KY,396,5,2021-01-03
LA,222,1,2021-01-03
MA,256,2,2021-01-03
MD,193,2,2021-01-03
ME,9,0,2021-01-03
MI,246,4,2021-01-03
MN,94,2,2021-01-03
MO,257,0,2021-01-03
MS,134,0,2021-01-03
MT,33,0,2021-01-03
NC,381,7,2021-01-03
ND,14,0,2021-01-03
NE,48,4,2021-01-03
NH,33,0,2021-01-03
NJ,382,4,2021-01-03
NM,109,0,2021-01-03
NV,155,2,2021-01-03
NY,987,6,2021-01-03
OH,502,8,2021-01-03
OK,392,1,2021-01-03
OR,68,2,2021-01-03
WV,91,2,2021-01-03
WY,18,1,2021-01-03
