state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,663,5,2020-12-25
PR,241,1,2020-12-25
RI,41,0,2020-12-25
SC,189,2,2020-12-25
SD,27,0,2020-12-25
TN,0,0,2020-12-25
TX,1455,21,2020-12-25
UT,83,4,2020-12-25
VA,271,5,2020-12-25
VI,0,0,2020-12-25
VT,5,0,2020-12-25
WA,126,1,2020-12-25
WI,238,0,2020-12-25
AK,11,0,2020-12-25
AL,430,3,2020-12-25
AR,175,3,2020-12-25
AZ,529,6,2020-12-25
CA,2287,14,2020-12-25
CO,171,1,2020-12-25
CT,121,5,2020-12-25
DC,30,3,2020-12-25
DE,40,0,2020-12-25
FL,965,13,2020-12-25
GA,682,12,2020-12-25
HI,11,0,2020-12-25
IA,101,2,2020-12-25
MS,206,4,2020-12-25
MT,36,1,2020-12-25
NC,352,5,2020-12-25
ND,20,2,2020-12-25
NE,57,4,2020-12-25
NH,40,0,2020-12-25
NJ,451,6,2020-12-25
NM,147,3,2020-12-25
NV,198,1,2020-12-25
NY,1002,4,2020-12-25
OH,597,6,2020-12-25
OK,367,3,2020-12-25
OR,67,0,2020-12-25
ID,50,0,2020-12-25
IL,504,4,2020-12-25
IN,353,6,2020-12-25
KS,148,0,2020-12-25
KY,429,2,2020-12-25
LA,215,1,2020-12-25
MA,280,1,2020-12-25
MD,224,0,2020-12-25
ME,15,0,2020-12-25
MI,320,5,2020-12-25
MN,109,2,2020-12-25
MO,257,2,2020-12-25
WV,89,1,2020-12-25
WY,16,0,2020-12-25
