state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,210,1,2020-11-24
RI,17,0,2020-11-24
SC,85,0,2020-11-24
SD,73,1,2020-11-24
TN,295,1,2020-11-24
TX,1009,16,2020-11-24
UT,99,2,2020-11-24
VA,158,2,2020-11-24
VI,0,0,2020-11-24
VT,5,0,2020-11-24
WA,97,0,2020-11-24
WI,428,3,2020-11-24
WV,82,1,2020-11-24
AK,17,0,2020-11-24
AL,217,2,2020-11-24
AR,131,2,2020-11-24
AZ,291,1,2020-11-24
CA,884,12,2020-11-24
CO,340,8,2020-11-24
CT,137,3,2020-11-24
DC,18,0,2020-11-24
DE,25,7,2020-11-24
FL,597,8,2020-11-24
GA,464,11,2020-11-24
HI,5,0,2020-11-24
IA,164,5,2020-11-24
MT,69,1,2020-11-24
NC,211,1,2020-11-24
ND,51,0,2020-11-24
NE,100,3,2020-11-24
NH,18,0,2020-11-24
NJ,327,1,2020-11-24
NM,107,1,2020-11-24
NV,170,2,2020-11-24
NY,683,3,2020-11-24
OH,750,5,2020-11-24
OK,361,5,2020-11-24
OR,57,0,2020-11-24
PA,556,5,2020-11-24
ID,63,0,2020-11-24
IL,650,4,2020-11-24
IN,337,5,2020-11-24
KS,181,0,2020-11-24
KY,402,1,2020-11-24
LA,176,3,2020-11-24
MA,124,0,2020-11-24
MD,222,2,2020-11-24
ME,18,0,2020-11-24
MI,564,6,2020-11-24
MN,247,6,2020-11-24
MO,300,2,2020-11-24
MS,122,3,2020-11-24
WY,30,0,2020-11-24
