state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,663,6,2020-12-29
PR,34,1,2020-12-29
RI,17,0,2020-12-29
SC,235,1,2020-12-29
SD,38,0,2020-12-29
TN,413,5,2020-12-29
TX,1621,27,2020-12-29
UT,78,3,2020-12-29
VA,261,6,2020-12-29
VI,4,0,2020-12-29
VT,10,0,2020-12-29
WA,94,0,2020-12-29
WI,212,1,2020-12-29
AK,9,0,2020-12-29
AL,457,0,2020-12-29
AR,187,3,2020-12-29
AZ,547,4,2020-12-29
CA,2219,21,2020-12-29
CO,156,1,2020-12-29
CT,138,3,2020-12-29
DC,33,1,2020-12-29
DE,49,1,2020-12-29
FL,1031,14,2020-12-29
GA,705,12,2020-12-29
HI,5,0,2020-12-29
IA,88,3,2020-12-29
MS,180,1,2020-12-29
MT,35,1,2020-12-29
NC,363,2,2020-12-29
ND,21,0,2020-12-29
NE,38,3,2020-12-29
NH,43,0,2020-12-29
NJ,365,3,2020-12-29
NM,108,0,2020-12-29
NV,166,2,2020-12-29
NY,1056,9,2020-12-29
OH,608,9,2020-12-29
OK,368,3,2020-12-29
OR,60,1,2020-12-29
ID,48,0,2020-12-29
IL,413,5,2020-12-29
IN,283,6,2020-12-29
KS,139,0,2020-12-29
KY,444,0,2020-12-29
LA,228,3,2020-12-29
MA,279,0,2020-12-29
MD,213,0,2020-12-29
ME,14,0,2020-12-29
MI,296,2,2020-12-29
MN,124,2,2020-12-29
MO,262,4,2020-12-29
WV,109,2,2020-12-29
WY,23,0,2020-12-29
