state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,341,6,2021-02-02
PR,22,0,2021-02-02
RI,27,0,2021-02-02
SC,223,2,2021-02-02
SD,16,0,2021-02-02
TN,175,3,2021-02-02
TX,1229,20,2021-02-02
UT,65,4,2021-02-02
VA,250,4,2021-02-02
VI,0,0,2021-02-02
VT,4,0,2021-02-02
WA,66,1,2021-02-02
WI,161,2,2021-02-02
AK,5,0,2021-02-02
AL,257,5,2021-02-02
AR,94,5,2021-02-02
AZ,334,5,2021-02-02
CA,1156,23,2021-02-02
CO,80,9,2021-02-02
CT,94,1,2021-02-02
DC,30,1,2021-02-02
DE,46,1,2021-02-02
FL,890,18,2021-02-02
GA,546,26,2021-02-02
HI,3,0,2021-02-02
IA,55,2,2021-02-02
MS,92,3,2021-02-02
MT,25,2,2021-02-02
NC,256,2,2021-02-02
ND,7,0,2021-02-02
NE,28,1,2021-02-02
NH,13,0,2021-02-02
NJ,285,3,2021-02-02
NM,62,1,2021-02-02
NV,97,0,2021-02-02
NY,639,7,2021-02-02
OH,348,8,2021-02-02
OK,223,3,2021-02-02
OR,43,4,2021-02-02
ID,26,2,2021-02-02
IL,261,4,2021-02-02
IN,179,12,2021-02-02
KS,76,2,2021-02-02
KY,304,0,2021-02-02
LA,162,6,2021-02-02
MA,168,2,2021-02-02
MD,168,1,2021-02-02
ME,14,0,2021-02-02
MI,178,3,2021-02-02
MN,57,1,2021-02-02
MO,145,4,2021-02-02
WV,51,0,2021-02-02
WY,12,0,2021-02-02
