state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,4,0,2021-02-24
AL,104,3,2021-02-24
AR,55,1,2021-02-24
AZ,151,3,2021-02-24
CA,603,13,2021-02-24
CO,81,1,2021-02-24
CT,89,1,2021-02-24
DC,24,2,2021-02-24
DE,19,0,2021-02-24
FL,693,17,2021-02-24
GA,426,12,2021-02-24
HI,6,0,2021-02-24
IA,43,1,2021-02-24
PR,212,0,2021-02-24
RI,18,0,2021-02-24
SC,110,1,2021-02-24
SD,12,0,2021-02-24
TN,155,1,2021-02-24
TX,739,14,2021-02-24
UT,39,2,2021-02-24
VA,164,5,2021-02-24
VI,0,0,2021-02-24
VT,7,1,2021-02-24
WA,48,1,2021-02-24
WI,78,0,2021-02-24
WV,35,0,2021-02-24
MT,10,0,2021-02-24
NC,168,2,2021-02-24
ND,4,0,2021-02-24
NE,22,0,2021-02-24
NH,13,0,2021-02-24
NJ,264,6,2021-02-24
NM,28,0,2021-02-24
NV,68,2,2021-02-24
NY,610,7,2021-02-24
OH,183,3,2021-02-24
OK,140,4,2021-02-24
OR,14,0,2021-02-24
PA,246,6,2021-02-24
ID,15,0,2021-02-24
IL,140,1,2021-02-24
IN,87,6,2021-02-24
KS,51,0,2021-02-24
KY,200,1,2021-02-24
LA,81,2,2021-02-24
MA,125,2,2021-02-24
MD,97,1,2021-02-24
ME,5,1,2021-02-24
MI,94,2,2021-02-24
MN,56,2,2021-02-24
MO,83,4,2021-02-24
MS,46,0,2021-02-24
WY,9,1,2021-02-24
