state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,29,6,2020-11-16
RI,15,0,2020-11-16
SC,76,0,2020-11-16
SD,63,0,2020-11-16
TN,208,0,2020-11-16
TX,1021,16,2020-11-16
UT,79,2,2020-11-16
VA,101,2,2020-11-16
VI,1,0,2020-11-16
VT,2,0,2020-11-16
WA,69,1,2020-11-16
WI,482,4,2020-11-16
WV,42,0,2020-11-16
ID,37,1,2020-11-16
IL,594,6,2020-11-16
IN,392,8,2020-11-16
KS,167,1,2020-11-16
KY,355,2,2020-11-16
LA,147,2,2020-11-16
MA,112,0,2020-11-16
MD,159,2,2020-11-16
ME,10,1,2020-11-16
MI,377,2,2020-11-16
MN,216,2,2020-11-16
MO,325,2,2020-11-16
MS,105,1,2020-11-16
AK,21,0,2020-11-16
AL,162,1,2020-11-16
AR,104,1,2020-11-16
AZ,185,0,2020-11-16
CA,557,4,2020-11-16
CO,199,11,2020-11-16
CT,110,0,2020-11-16
DC,14,1,2020-11-16
DE,15,4,2020-11-16
FL,466,6,2020-11-16
GA,317,3,2020-11-16
HI,9,1,2020-11-16
IA,211,2,2020-11-16
MT,74,1,2020-11-16
NC,156,4,2020-11-16
ND,45,1,2020-11-16
NE,114,4,2020-11-16
NH,11,0,2020-11-16
NJ,280,0,2020-11-16
NM,113,1,2020-11-16
NV,194,1,2020-11-16
NY,408,9,2020-11-16
OH,522,2,2020-11-16
OK,262,5,2020-11-16
OR,39,1,2020-11-16
PA,401,6,2020-11-16
WY,26,3,2020-11-16
