state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,10,0,2020-12-10
AL,336,1,2020-12-10
AR,121,0,2020-12-10
AZ,485,2,2020-12-10
CA,1712,20,2020-12-10
CO,237,7,2020-12-10
CT,140,7,2020-12-10
DC,25,2,2020-12-10
DE,51,6,2020-12-10
FL,707,16,2020-12-10
GA,563,14,2020-12-10
HI,11,0,2020-12-10
IA,127,1,2020-12-10
ID,53,0,2020-12-10
IL,602,10,2020-12-10
IN,375,6,2020-12-10
KS,176,3,2020-12-10
KY,461,1,2020-12-10
LA,217,2,2020-12-10
MA,263,4,2020-12-10
MD,239,3,2020-12-10
ME,20,0,2020-12-10
MI,482,3,2020-12-10
MN,192,8,2020-12-10
MO,293,5,2020-12-10
MS,147,3,2020-12-10
MT,73,1,2020-12-10
NC,309,7,2020-12-10
ND,28,2,2020-12-10
NE,82,1,2020-12-10
NH,41,0,2020-12-10
NJ,464,2,2020-12-10
NM,120,0,2020-12-10
NV,228,1,2020-12-10
NY,1030,16,2020-12-10
OH,752,14,2020-12-10
OK,304,2,2020-12-10
OR,65,1,2020-12-10
PA,751,8,2020-12-10
PR,31,2,2020-12-10
RI,51,1,2020-12-10
SC,139,3,2020-12-10
SD,38,2,2020-12-10
TN,359,3,2020-12-10
TX,1276,23,2020-12-10
UT,105,0,2020-12-10
VA,229,5,2020-12-10
VI,0,0,2020-12-10
VT,4,0,2020-12-10
WA,93,0,2020-12-10
WI,340,6,2020-12-10
WV,87,0,2020-12-10
WY,31,5,2020-12-10
