state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,33,0,2020-12-01
RI,31,1,2020-12-01
SC,132,4,2020-12-01
SD,52,1,2020-12-01
TN,308,2,2020-12-01
TX,1118,15,2020-12-01
UT,101,4,2020-12-01
VA,202,7,2020-12-01
VI,0,0,2020-12-01
VT,7,0,2020-12-01
WA,93,0,2020-12-01
WI,403,4,2020-12-01
WV,71,0,2020-12-01
AK,27,1,2020-12-01
AL,306,4,2020-12-01
AR,160,0,2020-12-01
AZ,353,0,2020-12-01
CA,1197,16,2020-12-01
CO,284,5,2020-12-01
CT,156,2,2020-12-01
DC,24,0,2020-12-01
DE,31,3,2020-12-01
FL,717,16,2020-12-01
GA,475,17,2020-12-01
HI,6,0,2020-12-01
IA,180,5,2020-12-01
ID,74,1,2020-12-01
IL,617,8,2020-12-01
IN,423,4,2020-12-01
KS,187,3,2020-12-01
KY,380,3,2020-12-01
LA,180,2,2020-12-01
MA,183,5,2020-12-01
MD,228,1,2020-12-01
ME,16,0,2020-12-01
MI,555,6,2020-12-01
MN,220,5,2020-12-01
MO,363,6,2020-12-01
MS,128,1,2020-12-01
MT,72,1,2020-12-01
NC,210,1,2020-12-01
ND,47,2,2020-12-01
NE,81,3,2020-12-01
NH,19,0,2020-12-01
NJ,364,3,2020-12-01
NM,134,3,2020-12-01
NV,165,1,2020-12-01
NY,695,6,2020-12-01
OH,855,10,2020-12-01
OK,327,1,2020-12-01
OR,80,0,2020-12-01
PA,813,7,2020-12-01
WY,43,0,2020-12-01
