state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,26,1,2020-11-23
RI,16,0,2020-11-23
SC,78,0,2020-11-23
SD,54,2,2020-11-23
TN,175,4,2020-11-23
TX,1014,21,2020-11-23
UT,75,3,2020-11-23
VA,136,0,2020-11-23
VI,0,0,2020-11-23
VT,2,1,2020-11-23
WA,107,0,2020-11-23
WI,387,4,2020-11-23
WV,46,1,2020-11-23
AK,16,0,2020-11-23
AL,176,1,2020-11-23
AR,114,2,2020-11-23
AZ,233,1,2020-11-23
CA,805,14,2020-11-23
CO,261,1,2020-11-23
CT,90,0,2020-11-23
DC,11,2,2020-11-23
DE,19,4,2020-11-23
FL,519,8,2020-11-23
GA,354,8,2020-11-23
HI,3,0,2020-11-23
IA,165,5,2020-11-23
MT,70,0,2020-11-23
NC,212,2,2020-11-23
ND,46,1,2020-11-23
NE,107,3,2020-11-23
NH,14,0,2020-11-23
NJ,321,3,2020-11-23
NM,114,0,2020-11-23
NV,150,1,2020-11-23
NY,572,2,2020-11-23
OH,589,8,2020-11-23
OK,297,3,2020-11-23
OR,53,0,2020-11-23
PA,517,6,2020-11-23
ID,59,0,2020-11-23
IL,569,7,2020-11-23
IN,335,7,2020-11-23
KS,152,1,2020-11-23
KY,370,2,2020-11-23
LA,130,2,2020-11-23
MA,111,2,2020-11-23
MD,182,2,2020-11-23
ME,14,0,2020-11-23
MI,365,5,2020-11-23
MN,216,3,2020-11-23
MO,296,3,2020-11-23
MS,118,1,2020-11-23
WY,33,0,2020-11-23
