state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,21,0,2020-12-06
RI,30,2,2020-12-06
SC,130,0,2020-12-06
SD,41,1,2020-12-06
TN,264,0,2020-12-06
TX,1079,21,2020-12-06
UT,86,7,2020-12-06
VA,181,7,2020-12-06
VI,0,0,2020-12-06
VT,3,0,2020-12-06
WA,103,0,2020-12-06
WI,288,2,2020-12-06
WV,55,0,2020-12-06
AK,17,0,2020-12-06
AL,267,4,2020-12-06
AR,119,3,2020-12-06
AZ,264,0,2020-12-06
CA,1369,10,2020-12-06
CO,233,4,2020-12-06
CT,142,3,2020-12-06
DC,19,3,2020-12-06
DE,59,14,2020-12-06
FL,594,12,2020-12-06
GA,427,9,2020-12-06
HI,2,0,2020-12-06
IA,94,1,2020-12-06
MT,42,1,2020-12-06
NC,291,5,2020-12-06
ND,31,1,2020-12-06
NE,66,1,2020-12-06
NH,32,0,2020-12-06
NJ,427,3,2020-12-06
NM,134,3,2020-12-06
NV,154,3,2020-12-06
NY,858,8,2020-12-06
OH,632,10,2020-12-06
OK,293,5,2020-12-06
OR,45,0,2020-12-06
PA,673,2,2020-12-06
ID,62,2,2020-12-06
IL,445,8,2020-12-06
IN,359,2,2020-12-06
KS,151,1,2020-12-06
KY,392,2,2020-12-06
LA,182,3,2020-12-06
MA,185,2,2020-12-06
MD,196,0,2020-12-06
ME,13,0,2020-12-06
MI,395,8,2020-12-06
MN,150,4,2020-12-06
MO,277,4,2020-12-06
MS,140,2,2020-12-06
WY,32,0,2020-12-06
