state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,13,0,2021-03-01
RI,5,0,2021-03-01
SC,75,0,2021-03-01
SD,8,1,2021-03-01
TN,67,4,2021-03-01
TX,528,14,2021-03-01
UT,28,0,2021-03-01
VA,114,9,2021-03-01
VI,1,0,2021-03-01
VT,3,0,2021-03-01
WA,32,0,2021-03-01
WI,58,1,2021-03-01
WV,14,0,2021-03-01
AK,2,0,2021-03-01
AL,83,1,2021-03-01
AR,38,0,2021-03-01
AZ,103,3,2021-03-01
CA,417,3,2021-03-01
CO,38,1,2021-03-01
CT,63,1,2021-03-01
DC,13,1,2021-03-01
DE,14,1,2021-03-01
FL,482,16,2021-03-01
GA,145,0,2021-03-01
HI,4,0,2021-03-01
IA,33,1,2021-03-01
MT,14,0,2021-03-01
NC,129,2,2021-03-01
ND,6,0,2021-03-01
NE,13,1,2021-03-01
NH,11,0,2021-03-01
NJ,172,0,2021-03-01
NM,105,0,2021-03-01
NV,47,1,2021-03-01
NY,506,13,2021-03-01
OH,156,6,2021-03-01
OK,83,2,2021-03-01
OR,24,0,2021-03-01
PA,197,2,2021-03-01
ID,14,0,2021-03-01
IL,110,2,2021-03-01
IN,62,5,2021-03-01
KS,27,0,2021-03-01
KY,149,1,2021-03-01
LA,62,11,2021-03-01
MA,68,2,2021-03-01
MD,90,1,2021-03-01
ME,1,0,2021-03-01
MI,79,4,2021-03-01
MN,36,1,2021-03-01
MO,57,4,2021-03-01
MS,32,1,2021-03-01
WY,3,0,2021-03-01
