state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,5,0,2020-12-22
AL,399,3,2020-12-22
AR,156,3,2020-12-22
AZ,518,5,2020-12-22
CA,2133,17,2020-12-22
CO,157,6,2020-12-22
CT,122,2,2020-12-22
DC,65,1,2020-12-22
DE,51,0,2020-12-22
FL,873,6,2020-12-22
GA,707,20,2020-12-22
HI,7,0,2020-12-22
IA,111,1,2020-12-22
PR,42,0,2020-12-22
RI,26,0,2020-12-22
SC,200,0,2020-12-22
SD,27,0,2020-12-22
TN,96,0,2020-12-22
TX,1462,18,2020-12-22
UT,98,4,2020-12-22
VA,246,3,2020-12-22
VI,0,0,2020-12-22
VT,4,0,2020-12-22
WA,92,0,2020-12-22
WI,285,0,2020-12-22
WV,88,1,2020-12-22
ID,49,0,2020-12-22
IL,462,2,2020-12-22
IN,314,6,2020-12-22
KS,171,1,2020-12-22
KY,390,1,2020-12-22
LA,214,5,2020-12-22
MA,261,1,2020-12-22
MD,204,1,2020-12-22
ME,18,0,2020-12-22
MI,327,4,2020-12-22
MN,111,5,2020-12-22
MO,291,5,2020-12-22
MS,163,1,2020-12-22
MT,39,2,2020-12-22
NC,321,3,2020-12-22
ND,26,1,2020-12-22
NE,62,3,2020-12-22
NH,40,0,2020-12-22
NJ,378,3,2020-12-22
NM,96,7,2020-12-22
NV,154,1,2020-12-22
NY,839,10,2020-12-22
OH,632,9,2020-12-22
OK,326,3,2020-12-22
OR,60,3,2020-12-22
PA,674,3,2020-12-22
WY,14,0,2020-12-22
