state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,11,0,2020-11-18
AL,197,4,2020-11-18
AR,140,1,2020-11-18
AZ,224,8,2020-11-18
CA,704,3,2020-11-18
CO,266,7,2020-11-18
CT,132,0,2020-11-18
DC,27,2,2020-11-18
DE,17,4,2020-11-18
FL,521,3,2020-11-18
GA,357,7,2020-11-18
HI,9,0,2020-11-18
IA,239,2,2020-11-18
ID,56,0,2020-11-18
IL,702,8,2020-11-18
IN,338,10,2020-11-18
KS,172,5,2020-11-18
KY,354,3,2020-11-18
LA,170,4,2020-11-18
MA,143,3,2020-11-18
MD,199,2,2020-11-18
ME,16,0,2020-11-18
MI,483,5,2020-11-18
MN,233,4,2020-11-18
MO,363,5,2020-11-18
MS,106,1,2020-11-18
MT,85,1,2020-11-18
NC,210,1,2020-11-18
ND,46,0,2020-11-18
NE,147,4,2020-11-18
NH,19,0,2020-11-18
NJ,342,4,2020-11-18
NM,109,1,2020-11-18
NV,144,1,2020-11-18
NY,474,1,2020-11-18
OH,602,9,2020-11-18
OK,317,6,2020-11-18
OR,56,0,2020-11-18
PA,460,7,2020-11-18
PR,41,1,2020-11-18
RI,29,0,2020-11-18
SC,84,0,2020-11-18
SD,67,0,2020-11-18
TN,242,1,2020-11-18
TX,1291,23,2020-11-18
UT,73,7,2020-11-18
VA,151,2,2020-11-18
VI,0,0,2020-11-18
VT,6,0,2020-11-18
WA,72,0,2020-11-18
WI,508,8,2020-11-18
WV,49,0,2020-11-18
WY,45,2,2020-11-18
