state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,13,2,2020-11-20
AL,193,0,2020-11-20
AR,124,2,2020-11-20
AZ,264,2,2020-11-20
CA,745,10,2020-11-20
CO,301,6,2020-11-20
CT,100,1,2020-11-20
DC,15,2,2020-11-20
DE,20,4,2020-11-20
FL,575,14,2020-11-20
GA,432,6,2020-11-20
HI,7,0,2020-11-20
IA,196,6,2020-11-20
PR,50,1,2020-11-20
RI,18,0,2020-11-20
SC,75,1,2020-11-20
SD,73,1,2020-11-20
TN,256,0,2020-11-20
TX,1244,24,2020-11-20
UT,87,4,2020-11-20
VA,146,0,2020-11-20
VI,0,0,2020-11-20
VT,3,0,2020-11-20
WA,110,0,2020-11-20
WI,482,3,2020-11-20
WV,62,0,2020-11-20
ID,55,3,2020-11-20
IL,676,8,2020-11-20
IN,365,5,2020-11-20
KS,180,1,2020-11-20
KY,392,2,2020-11-20
LA,146,1,2020-11-20
MA,108,4,2020-11-20
MD,192,2,2020-11-20
ME,18,0,2020-11-20
MI,485,0,2020-11-20
MN,259,5,2020-11-20
MO,359,2,2020-11-20
MS,136,1,2020-11-20
MT,90,2,2020-11-20
NC,203,1,2020-11-20
ND,63,0,2020-11-20
NE,152,3,2020-11-20
NH,13,0,2020-11-20
NJ,335,4,2020-11-20
NM,131,2,2020-11-20
NV,138,1,2020-11-20
NY,584,8,2020-11-20
OH,621,7,2020-11-20
OK,350,5,2020-11-20
OR,45,0,2020-11-20
PA,497,4,2020-11-20
WY,44,2,2020-11-20
