state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,21,1,2021-02-08
RI,14,0,2021-02-08
SC,128,1,2021-02-08
SD,9,0,2021-02-08
TN,91,3,2021-02-08
TX,874,19,2021-02-08
UT,46,2,2021-02-08
VA,173,0,2021-02-08
VI,0,0,2021-02-08
VT,2,0,2021-02-08
WA,34,0,2021-02-08
WI,92,0,2021-02-08
WV,28,0,2021-02-08
AK,4,0,2021-02-08
AL,191,0,2021-02-08
AR,99,2,2021-02-08
AZ,236,5,2021-02-08
CA,830,18,2021-02-08
CO,79,7,2021-02-08
CT,71,0,2021-02-08
DC,18,1,2021-02-08
DE,21,3,2021-02-08
FL,614,12,2021-02-08
GA,365,16,2021-02-08
HI,4,0,2021-02-08
IA,36,2,2021-02-08
MT,7,0,2021-02-08
NC,206,4,2021-02-08
ND,7,0,2021-02-08
NE,20,0,2021-02-08
NH,12,0,2021-02-08
NJ,223,1,2021-02-08
NM,35,0,2021-02-08
NV,82,1,2021-02-08
NY,633,12,2021-02-08
OH,251,2,2021-02-08
OK,162,6,2021-02-08
OR,27,0,2021-02-08
PA,270,6,2021-02-08
ID,21,0,2021-02-08
IL,158,4,2021-02-08
IN,106,8,2021-02-08
KS,32,0,2021-02-08
KY,277,5,2021-02-08
LA,97,2,2021-02-08
MA,127,1,2021-02-08
MD,109,0,2021-02-08
ME,8,0,2021-02-08
MI,94,0,2021-02-08
MN,36,0,2021-02-08
MO,111,5,2021-02-08
MS,52,1,2021-02-08
WY,7,0,2021-02-08
