state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,219,0,2021-03-03
RI,13,0,2021-03-03
SC,78,1,2021-03-03
SD,11,0,2021-03-03
TN,91,2,2021-03-03
TX,543,14,2021-03-03
UT,26,3,2021-03-03
VA,131,5,2021-03-03
VI,0,0,2021-03-03
VT,6,1,2021-03-03
WA,46,0,2021-03-03
WI,66,0,2021-03-03
WV,20,0,2021-03-03
AK,6,0,2021-03-03
AL,82,1,2021-03-03
AR,39,2,2021-03-03
AZ,122,6,2021-03-03
CA,443,11,2021-03-03
CO,66,1,2021-03-03
CT,71,0,2021-03-03
DC,15,5,2021-03-03
DE,12,0,2021-03-03
FL,592,8,2021-03-03
GA,177,0,2021-03-03
HI,1,0,2021-03-03
IA,30,0,2021-03-03
MT,21,0,2021-03-03
NC,136,4,2021-03-03
ND,6,0,2021-03-03
NE,22,0,2021-03-03
NH,13,2,2021-03-03
NJ,229,3,2021-03-03
NM,19,0,2021-03-03
NV,43,0,2021-03-03
NY,596,10,2021-03-03
OH,184,7,2021-03-03
OK,75,1,2021-03-03
OR,25,0,2021-03-03
PA,195,4,2021-03-03
ID,22,0,2021-03-03
IL,134,4,2021-03-03
IN,70,5,2021-03-03
KS,18,2,2021-03-03
KY,170,0,2021-03-03
LA,59,10,2021-03-03
MA,102,0,2021-03-03
MD,95,3,2021-03-03
ME,11,0,2021-03-03
MI,95,1,2021-03-03
MN,31,2,2021-03-03
MO,62,4,2021-03-03
MS,31,1,2021-03-03
WY,4,0,2021-03-03
