state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,32,1,2020-12-24
RI,31,0,2020-12-24
SC,252,0,2020-12-24
SD,23,0,2020-12-24
TN,0,0,2020-12-24
TX,1551,23,2020-12-24
UT,75,6,2020-12-24
VA,254,7,2020-12-24
VI,0,0,2020-12-24
VT,5,0,2020-12-24
WA,112,0,2020-12-24
WI,269,0,2020-12-24
WV,110,0,2020-12-24
AK,13,0,2020-12-24
AL,511,2,2020-12-24
AR,148,4,2020-12-24
AZ,551,3,2020-12-24
CA,2395,23,2020-12-24
CO,180,2,2020-12-24
CT,155,2,2020-12-24
DC,31,1,2020-12-24
DE,50,1,2020-12-24
FL,862,11,2020-12-24
GA,722,19,2020-12-24
HI,14,0,2020-12-24
IA,99,2,2020-12-24
MT,42,1,2020-12-24
NC,392,7,2020-12-24
ND,29,1,2020-12-24
NE,68,3,2020-12-24
NH,45,1,2020-12-24
NJ,465,5,2020-12-24
NM,103,1,2020-12-24
NV,187,2,2020-12-24
NY,1057,11,2020-12-24
OH,636,6,2020-12-24
OK,403,4,2020-12-24
OR,60,0,2020-12-24
PA,684,6,2020-12-24
ID,38,0,2020-12-24
IL,489,2,2020-12-24
IN,357,6,2020-12-24
KS,151,1,2020-12-24
KY,400,3,2020-12-24
LA,200,3,2020-12-24
MA,299,3,2020-12-24
MD,267,1,2020-12-24
ME,11,0,2020-12-24
MI,352,7,2020-12-24
MN,135,5,2020-12-24
MO,269,7,2020-12-24
MS,186,2,2020-12-24
WY,31,0,2020-12-24
