state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,712,6,2021-01-06
PR,30,0,2021-01-06
RI,29,0,2021-01-06
SC,312,3,2021-01-06
SD,28,1,2021-01-06
TN,0,0,2021-01-06
TX,1809,27,2021-01-06
UT,94,2,2021-01-06
VA,307,2,2021-01-06
VI,0,0,2021-01-06
VT,8,0,2021-01-06
WA,97,1,2021-01-06
WI,253,6,2021-01-06
AK,18,0,2021-01-06
AL,465,2,2021-01-06
AR,210,3,2021-01-06
AZ,620,7,2021-01-06
CA,2546,30,2021-01-06
CO,158,6,2021-01-06
CT,174,3,2021-01-06
DC,39,3,2021-01-06
DE,42,2,2021-01-06
FL,1195,14,2021-01-06
GA,779,17,2021-01-06
HI,13,0,2021-01-06
IA,120,1,2021-01-06
ID,40,0,2021-01-06
IL,418,7,2021-01-06
IN,367,7,2021-01-06
KS,144,0,2021-01-06
KY,444,1,2021-01-06
LA,333,3,2021-01-06
MA,325,1,2021-01-06
MD,237,0,2021-01-06
ME,21,1,2021-01-06
MI,336,3,2021-01-06
MN,111,1,2021-01-06
MO,274,5,2021-01-06
MS,170,1,2021-01-06
MT,42,0,2021-01-06
NC,526,2,2021-01-06
ND,21,0,2021-01-06
NE,62,6,2021-01-06
NH,35,0,2021-01-06
NJ,438,7,2021-01-06
NM,121,0,2021-01-06
NV,165,0,2021-01-06
NY,1176,20,2021-01-06
OH,637,7,2021-01-06
OK,459,3,2021-01-06
OR,69,0,2021-01-06
WV,83,2,2021-01-06
WY,16,0,2021-01-06
