state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,11,3,2021-02-15
RI,7,1,2021-02-15
SC,100,2,2021-02-15
SD,9,1,2021-02-15
TN,93,1,2021-02-15
TX,636,15,2021-02-15
UT,25,1,2021-02-15
VA,141,3,2021-02-15
VI,0,0,2021-02-15
VT,2,0,2021-02-15
WA,46,1,2021-02-15
WI,73,1,2021-02-15
WV,32,0,2021-02-15
AK,3,1,2021-02-15
AL,135,0,2021-02-15
AR,53,2,2021-02-15
AZ,181,6,2021-02-15
CA,621,18,2021-02-15
CO,60,3,2021-02-15
CT,64,1,2021-02-15
DC,20,1,2021-02-15
DE,11,0,2021-02-15
FL,550,14,2021-02-15
GA,275,22,2021-02-15
HI,5,0,2021-02-15
IA,36,0,2021-02-15
MT,24,0,2021-02-15
NC,195,1,2021-02-15
ND,7,2,2021-02-15
NE,13,0,2021-02-15
NH,12,0,2021-02-15
NJ,170,3,2021-02-15
NM,18,1,2021-02-15
NV,55,1,2021-02-15
NY,544,11,2021-02-15
OH,182,2,2021-02-15
OK,125,3,2021-02-15
OR,28,0,2021-02-15
PA,226,1,2021-02-15
ID,13,0,2021-02-15
IL,132,4,2021-02-15
IN,79,7,2021-02-15
KS,42,1,2021-02-15
KY,205,0,2021-02-15
LA,65,1,2021-02-15
MA,104,0,2021-02-15
MD,88,1,2021-02-15
ME,3,0,2021-02-15
MI,86,1,2021-02-15
MN,31,2,2021-02-15
MO,73,3,2021-02-15
MS,33,0,2021-02-15
WY,6,0,2021-02-15
