state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,7,0,2021-03-07
RI,13,0,2021-03-07
SC,65,2,2021-03-07
SD,3,0,2021-03-07
TN,50,1,2021-03-07
TX,505,15,2021-03-07
UT,30,1,2021-03-07
VA,101,4,2021-03-07
VI,0,0,2021-03-07
VT,5,0,2021-03-07
WA,28,0,2021-03-07
WI,48,0,2021-03-07
WV,21,2,2021-03-07
AK,3,0,2021-03-07
AL,64,1,2021-03-07
AR,33,0,2021-03-07
AZ,76,2,2021-03-07
CA,357,7,2021-03-07
CO,60,2,2021-03-07
CT,85,2,2021-03-07
DC,14,1,2021-03-07
DE,14,0,2021-03-07
FL,455,9,2021-03-07
GA,321,16,2021-03-07
HI,2,0,2021-03-07
IA,29,0,2021-03-07
ID,11,0,2021-03-07
IL,130,5,2021-03-07
IN,58,5,2021-03-07
KS,36,3,2021-03-07
KY,155,2,2021-03-07
LA,49,1,2021-03-07
MA,93,1,2021-03-07
MD,97,2,2021-03-07
ME,3,0,2021-03-07
MI,121,1,2021-03-07
MN,31,0,2021-03-07
MO,63,2,2021-03-07
MS,35,0,2021-03-07
MT,13,1,2021-03-07
NC,115,2,2021-03-07
ND,8,2,2021-03-07
NE,9,0,2021-03-07
NH,9,1,2021-03-07
NJ,177,0,2021-03-07
NM,27,0,2021-03-07
NV,42,0,2021-03-07
NY,420,6,2021-03-07
OH,122,5,2021-03-07
OK,63,1,2021-03-07
OR,5,0,2021-03-07
PA,167,6,2021-03-07
WY,5,0,2021-03-07
