state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,223,0,2021-03-06
RI,16,0,2021-03-06
SC,79,1,2021-03-06
SD,6,0,2021-03-06
TN,44,1,2021-03-06
TX,559,18,2021-03-06
UT,31,1,2021-03-06
VA,131,4,2021-03-06
VI,0,0,2021-03-06
VT,5,0,2021-03-06
WA,40,0,2021-03-06
WI,62,1,2021-03-06
WV,19,2,2021-03-06
AK,5,0,2021-03-06
AL,78,1,2021-03-06
AR,29,1,2021-03-06
AZ,105,1,2021-03-06
CA,450,10,2021-03-06
CO,57,2,2021-03-06
CT,85,2,2021-03-06
DC,20,1,2021-03-06
DE,14,0,2021-03-06
FL,530,11,2021-03-06
GA,361,16,2021-03-06
HI,0,0,2021-03-06
IA,31,0,2021-03-06
MT,17,0,2021-03-06
NC,124,2,2021-03-06
ND,3,1,2021-03-06
NE,9,0,2021-03-06
NH,10,1,2021-03-06
NJ,228,1,2021-03-06
NM,25,0,2021-03-06
NV,42,0,2021-03-06
NY,514,8,2021-03-06
OH,131,11,2021-03-06
OK,65,1,2021-03-06
OR,15,0,2021-03-06
PA,196,5,2021-03-06
ID,15,0,2021-03-06
IL,144,1,2021-03-06
IN,63,5,2021-03-06
KS,36,3,2021-03-06
KY,175,0,2021-03-06
LA,70,1,2021-03-06
MA,101,1,2021-03-06
MD,102,3,2021-03-06
ME,9,0,2021-03-06
MI,111,5,2021-03-06
MN,32,1,2021-03-06
MO,72,0,2021-03-06
MS,41,0,2021-03-06
WY,4,0,2021-03-06
