state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,13,0,2020-12-12
AL,343,5,2020-12-12
AR,170,1,2020-12-12
AZ,471,6,2020-12-12
CA,1868,28,2020-12-12
CO,259,2,2020-12-12
CT,167,3,2020-12-12
DC,30,3,2020-12-12
DE,39,6,2020-12-12
FL,734,6,2020-12-12
GA,519,13,2020-12-12
HI,7,0,2020-12-12
IA,95,1,2020-12-12
MT,65,1,2020-12-12
NC,291,3,2020-12-12
ND,32,0,2020-12-12
NE,84,1,2020-12-12
NH,35,0,2020-12-12
NJ,458,4,2020-12-12
NM,113,0,2020-12-12
NV,175,1,2020-12-12
NY,1046,18,2020-12-12
OH,770,13,2020-12-12
OK,341,3,2020-12-12
OR,64,4,2020-12-12
PA,760,3,2020-12-12
PR,47,0,2020-12-12
RI,43,0,2020-12-12
SC,182,0,2020-12-12
SD,46,1,2020-12-12
TN,310,2,2020-12-12
TX,1262,13,2020-12-12
UT,90,5,2020-12-12
VA,226,5,2020-12-12
VI,0,0,2020-12-12
VT,1,0,2020-12-12
WA,112,4,2020-12-12
WI,349,1,2020-12-12
WV,92,0,2020-12-12
ID,62,0,2020-12-12
IL,559,8,2020-12-12
IN,387,2,2020-12-12
KS,206,1,2020-12-12
KY,441,1,2020-12-12
LA,175,6,2020-12-12
MA,302,5,2020-12-12
MD,223,1,2020-12-12
ME,14,0,2020-12-12
MI,422,5,2020-12-12
MN,175,4,2020-12-12
MO,320,3,2020-12-12
MS,158,3,2020-12-12
WY,24,0,2020-12-12
