state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,21,1,2020-11-22
AL,191,1,2020-11-22
AR,132,2,2020-11-22
AZ,282,2,2020-11-22
CA,755,11,2020-11-22
CO,239,0,2020-11-22
CT,103,1,2020-11-22
DC,27,0,2020-11-22
DE,19,4,2020-11-22
FL,555,6,2020-11-22
GA,429,7,2020-11-22
HI,5,0,2020-11-22
IA,140,0,2020-11-22
PR,32,1,2020-11-22
RI,17,0,2020-11-22
SC,91,1,2020-11-22
SD,53,0,2020-11-22
TN,206,2,2020-11-22
TX,1179,19,2020-11-22
UT,71,3,2020-11-22
VA,121,3,2020-11-22
VI,0,0,2020-11-22
VT,5,0,2020-11-22
WA,88,0,2020-11-22
WI,410,4,2020-11-22
WV,63,2,2020-11-22
ID,56,1,2020-11-22
IL,549,3,2020-11-22
IN,372,6,2020-11-22
KS,179,2,2020-11-22
KY,324,1,2020-11-22
LA,139,2,2020-11-22
MA,122,1,2020-11-22
MD,188,3,2020-11-22
ME,13,0,2020-11-22
MI,482,4,2020-11-22
MN,215,1,2020-11-22
MO,333,2,2020-11-22
MS,118,0,2020-11-22
MT,90,3,2020-11-22
NC,215,2,2020-11-22
ND,33,0,2020-11-22
NE,121,2,2020-11-22
NH,15,0,2020-11-22
NJ,329,3,2020-11-22
NM,141,11,2020-11-22
NV,126,1,2020-11-22
NY,568,6,2020-11-22
OH,643,3,2020-11-22
OK,319,3,2020-11-22
OR,62,0,2020-11-22
PA,487,2,2020-11-22
WY,38,0,2020-11-22
