state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,387,6,2021-01-24
PR,30,0,2021-01-24
RI,29,0,2021-01-24
SC,204,0,2021-01-24
SD,13,1,2021-01-24
TN,159,1,2021-01-24
TX,1530,26,2021-01-24
UT,45,6,2021-01-24
VA,251,2,2021-01-24
VI,0,0,2021-01-24
VT,8,0,2021-01-24
WA,70,1,2021-01-24
WI,140,1,2021-01-24
AK,7,1,2021-01-24
AL,235,1,2021-01-24
AR,119,1,2021-01-24
AZ,472,4,2021-01-24
CA,1527,27,2021-01-24
CO,108,1,2021-01-24
CT,164,0,2021-01-24
DC,29,2,2021-01-24
DE,49,1,2021-01-24
FL,913,13,2021-01-24
GA,590,23,2021-01-24
HI,14,0,2021-01-24
IA,37,1,2021-01-24
ID,22,1,2021-01-24
IL,287,1,2021-01-24
IN,148,10,2021-01-24
KS,109,0,2021-01-24
KY,361,2,2021-01-24
LA,156,4,2021-01-24
MA,194,2,2021-01-24
MD,225,0,2021-01-24
ME,18,0,2021-01-24
MI,137,3,2021-01-24
MN,50,2,2021-01-24
MO,156,4,2021-01-24
MS,78,1,2021-01-24
MT,17,0,2021-01-24
NC,342,24,2021-01-24
ND,9,0,2021-01-24
NE,30,0,2021-01-24
NH,29,0,2021-01-24
NJ,319,3,2021-01-24
NM,96,0,2021-01-24
NV,135,2,2021-01-24
NY,846,15,2021-01-24
OH,327,4,2021-01-24
OK,262,4,2021-01-24
OR,43,1,2021-01-24
WV,57,1,2021-01-24
WY,9,0,2021-01-24
