state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,167,4,2021-03-08
PR,8,0,2021-03-08
RI,10,0,2021-03-08
SC,68,5,2021-03-08
SD,6,0,2021-03-08
TN,62,0,2021-03-08
TX,431,16,2021-03-08
UT,19,1,2021-03-08
VA,80,2,2021-03-08
VI,0,0,2021-03-08
VT,5,0,2021-03-08
WA,39,0,2021-03-08
WI,51,0,2021-03-08
AK,7,0,2021-03-08
AL,72,0,2021-03-08
AR,15,0,2021-03-08
AZ,103,0,2021-03-08
CA,339,6,2021-03-08
CO,44,2,2021-03-08
CT,52,0,2021-03-08
DC,21,1,2021-03-08
DE,6,0,2021-03-08
FL,449,9,2021-03-08
GA,220,15,2021-03-08
HI,2,0,2021-03-08
IA,27,0,2021-03-08
MS,23,0,2021-03-08
MT,12,0,2021-03-08
NC,102,1,2021-03-08
ND,9,1,2021-03-08
NE,9,0,2021-03-08
NH,5,1,2021-03-08
NJ,246,1,2021-03-08
NM,22,1,2021-03-08
NV,34,1,2021-03-08
NY,402,11,2021-03-08
OH,126,5,2021-03-08
OK,62,1,2021-03-08
OR,9,0,2021-03-08
ID,12,1,2021-03-08
IL,105,2,2021-03-08
IN,47,3,2021-03-08
KS,26,2,2021-03-08
KY,154,0,2021-03-08
LA,48,2,2021-03-08
MA,84,1,2021-03-08
MD,79,1,2021-03-08
ME,9,0,2021-03-08
MI,126,0,2021-03-08
MN,43,0,2021-03-08
MO,53,2,2021-03-08
WV,21,0,2021-03-08
WY,0,0,2021-03-08
