state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
MT,32,2,2021-01-22
NC,379,20,2021-01-22
ND,11,1,2021-01-22
NE,49,0,2021-01-22
NH,26,0,2021-01-22
NJ,375,3,2021-01-22
NM,98,2,2021-01-22
NV,170,2,2021-01-22
NY,983,14,2021-01-22
OH,414,12,2021-01-22
OK,274,3,2021-01-22
OR,32,0,2021-01-22
PA,474,5,2021-01-22
PR,24,1,2021-01-22
RI,25,0,2021-01-22
SC,284,3,2021-01-22
SD,18,0,2021-01-22
TN,246,2,2021-01-22
TX,1648,22,2021-01-22
UT,78,4,2021-01-22
VA,292,0,2021-01-22
VI,1,0,2021-01-22
VT,6,0,2021-01-22
WA,92,1,2021-01-22
WI,181,1,2021-01-22
WV,66,0,2021-01-22
AK,8,1,2021-01-22
AL,321,1,2021-01-22
AR,155,1,2021-01-22
AZ,530,1,2021-01-22
CA,1817,32,2021-01-22
CO,122,6,2021-01-22
CT,164,0,2021-01-22
DC,41,1,2021-01-22
DE,47,1,2021-01-22
FL,1071,20,2021-01-22
GA,738,24,2021-01-22
HI,10,0,2021-01-22
IA,64,1,2021-01-22
ID,20,3,2021-01-22
IL,356,4,2021-01-22
IN,233,9,2021-01-22
KS,125,0,2021-01-22
KY,417,0,2021-01-22
LA,208,4,2021-01-22
MA,264,4,2021-01-22
MD,194,0,2021-01-22
ME,19,0,2021-01-22
MI,218,0,2021-01-22
MN,70,4,2021-01-22
MO,199,3,2021-01-22
MS,106,3,2021-01-22
WY,9,1,2021-01-22
