state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,11,0,2020-12-09
AL,323,1,2020-12-09
AR,151,2,2020-12-09
AZ,426,2,2020-12-09
CA,1717,20,2020-12-09
CO,237,7,2020-12-09
CT,142,6,2020-12-09
DC,25,2,2020-12-09
DE,50,6,2020-12-09
FL,694,13,2020-12-09
GA,529,11,2020-12-09
HI,8,0,2020-12-09
IA,139,1,2020-12-09
PA,844,11,2020-12-09
PR,38,2,2020-12-09
RI,51,0,2020-12-09
SC,164,1,2020-12-09
SD,39,2,2020-12-09
TN,327,3,2020-12-09
TX,1213,18,2020-12-09
UT,92,0,2020-12-09
VA,221,4,2020-12-09
VI,0,0,2020-12-09
VT,1,0,2020-12-09
WA,92,0,2020-12-09
WI,337,6,2020-12-09
MS,153,3,2020-12-09
MT,77,1,2020-12-09
NC,315,2,2020-12-09
ND,33,1,2020-12-09
NE,84,0,2020-12-09
NH,46,0,2020-12-09
NJ,455,4,2020-12-09
NM,119,0,2020-12-09
NV,179,1,2020-12-09
NY,1028,17,2020-12-09
OH,747,12,2020-12-09
OK,313,2,2020-12-09
OR,70,1,2020-12-09
ID,64,1,2020-12-09
IL,586,8,2020-12-09
IN,373,6,2020-12-09
KS,161,3,2020-12-09
KY,427,2,2020-12-09
LA,193,6,2020-12-09
MA,293,4,2020-12-09
MD,244,2,2020-12-09
ME,22,0,2020-12-09
MI,486,5,2020-12-09
MN,201,3,2020-12-09
MO,307,2,2020-12-09
WV,92,0,2020-12-09
WY,31,5,2020-12-09
