state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,39,2,2020-11-26
RI,34,1,2020-11-26
SC,104,0,2020-11-26
SD,41,1,2020-11-26
TN,252,4,2020-11-26
TX,1147,19,2020-11-26
UT,99,3,2020-11-26
VA,172,5,2020-11-26
VI,0,0,2020-11-26
VT,1,0,2020-11-26
WA,110,0,2020-11-26
WI,421,2,2020-11-26
WV,77,2,2020-11-26
AK,27,0,2020-11-26
AL,214,2,2020-11-26
AR,145,1,2020-11-26
AZ,291,2,2020-11-26
CA,1043,6,2020-11-26
CO,290,4,2020-11-26
CT,105,6,2020-11-26
DC,19,1,2020-11-26
DE,27,8,2020-11-26
FL,587,6,2020-11-26
GA,386,10,2020-11-26
HI,5,0,2020-11-26
IA,178,2,2020-11-26
ID,71,2,2020-11-26
IL,644,6,2020-11-26
IN,389,13,2020-11-26
KS,195,0,2020-11-26
KY,396,0,2020-11-26
LA,170,2,2020-11-26
MA,134,1,2020-11-26
MD,224,0,2020-11-26
ME,19,0,2020-11-26
MI,571,6,2020-11-26
MN,225,1,2020-11-26
MO,328,6,2020-11-26
MS,132,2,2020-11-26
MT,66,1,2020-11-26
NC,221,1,2020-11-26
ND,36,2,2020-11-26
NE,111,1,2020-11-26
NH,15,0,2020-11-26
NJ,369,5,2020-11-26
NM,116,2,2020-11-26
NV,156,1,2020-11-26
NY,636,7,2020-11-26
OH,634,7,2020-11-26
OK,359,5,2020-11-26
OR,64,0,2020-11-26
PA,641,7,2020-11-26
WY,35,1,2020-11-26
