state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,25,1,2021-01-21
RI,31,3,2021-01-21
SC,259,3,2021-01-21
SD,10,0,2021-01-21
TN,201,1,2021-01-21
TX,1622,18,2021-01-21
UT,67,2,2021-01-21
VA,324,4,2021-01-21
VI,0,0,2021-01-21
VT,13,0,2021-01-21
WA,96,3,2021-01-21
WI,163,2,2021-01-21
WV,79,1,2021-01-21
AK,4,0,2021-01-21
AL,324,3,2021-01-21
AR,149,1,2021-01-21
AZ,555,3,2021-01-21
CA,1919,28,2021-01-21
CO,146,4,2021-01-21
CT,127,3,2021-01-21
DC,22,4,2021-01-21
DE,57,2,2021-01-21
FL,1019,22,2021-01-21
GA,835,19,2021-01-21
HI,10,0,2021-01-21
IA,66,0,2021-01-21
MT,31,0,2021-01-21
NC,399,22,2021-01-21
ND,7,0,2021-01-21
NE,55,1,2021-01-21
NH,26,1,2021-01-21
NJ,372,4,2021-01-21
NM,95,1,2021-01-21
NV,121,0,2021-01-21
NY,962,19,2021-01-21
OH,476,6,2021-01-21
OK,266,4,2021-01-21
OR,46,1,2021-01-21
PA,407,5,2021-01-21
ID,27,0,2021-01-21
IL,312,4,2021-01-21
IN,215,14,2021-01-21
KS,128,1,2021-01-21
KY,365,2,2021-01-21
LA,202,3,2021-01-21
MA,232,4,2021-01-21
MD,230,0,2021-01-21
ME,9,0,2021-01-21
MI,204,2,2021-01-21
MN,78,1,2021-01-21
MO,186,2,2021-01-21
MS,103,4,2021-01-21
WY,12,0,2021-01-21
