state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,4,1,2021-02-03
AL,219,6,2021-02-03
AR,116,4,2021-02-03
AZ,336,1,2021-02-03
CA,1299,21,2021-02-03
CO,94,8,2021-02-03
CT,118,3,2021-02-03
DC,38,2,2021-02-03
DE,36,0,2021-02-03
FL,812,17,2021-02-03
GA,493,20,2021-02-03
HI,4,0,2021-02-03
IA,52,1,2021-02-03
ID,20,0,2021-02-03
IL,246,2,2021-02-03
IN,172,5,2021-02-03
KS,83,0,2021-02-03
KY,291,2,2021-02-03
LA,127,5,2021-02-03
MA,185,2,2021-02-03
MD,175,0,2021-02-03
ME,15,0,2021-02-03
MI,171,3,2021-02-03
MN,59,1,2021-02-03
MO,132,19,2021-02-03
MS,80,0,2021-02-03
PR,21,1,2021-02-03
RI,24,0,2021-02-03
SC,197,2,2021-02-03
SD,9,2,2021-02-03
TN,128,1,2021-02-03
TX,1291,22,2021-02-03
UT,59,1,2021-02-03
VA,266,6,2021-02-03
VI,0,0,2021-02-03
VT,7,1,2021-02-03
WA,87,0,2021-02-03
WI,157,2,2021-02-03
WV,41,0,2021-02-03
MT,24,1,2021-02-03
NC,329,7,2021-02-03
ND,11,1,2021-02-03
NE,31,2,2021-02-03
NH,27,0,2021-02-03
NJ,355,1,2021-02-03
NM,64,1,2021-02-03
NV,146,3,2021-02-03
NY,849,14,2021-02-03
OH,323,5,2021-02-03
OK,244,5,2021-02-03
OR,52,2,2021-02-03
PA,335,4,2021-02-03
WY,11,1,2021-02-03
