state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,188,6,2021-03-11
PR,19,0,2021-03-11
RI,16,0,2021-03-11
SC,89,1,2021-03-11
SD,4,1,2021-03-11
TN,76,1,2021-03-11
TX,528,13,2021-03-11
UT,31,0,2021-03-11
VA,114,5,2021-03-11
VI,2,0,2021-03-11
VT,3,0,2021-03-11
WA,43,0,2021-03-11
WI,55,2,2021-03-11
AK,5,0,2021-03-11
AL,70,0,2021-03-11
AR,29,0,2021-03-11
AZ,102,2,2021-03-11
CA,363,11,2021-03-11
CO,58,5,2021-03-11
CT,79,1,2021-03-11
DC,14,1,2021-03-11
DE,15,2,2021-03-11
FL,442,9,2021-03-11
GA,376,15,2021-03-11
HI,3,0,2021-03-11
IA,41,0,2021-03-11
MS,36,2,2021-03-11
MT,18,0,2021-03-11
NC,133,1,2021-03-11
ND,4,0,2021-03-11
NE,13,0,2021-03-11
NH,9,0,2021-03-11
NJ,251,0,2021-03-11
NM,21,0,2021-03-11
NV,48,0,2021-03-11
NY,591,13,2021-03-11
OH,158,5,2021-03-11
OK,70,1,2021-03-11
OR,18,1,2021-03-11
ID,21,0,2021-03-11
IL,139,8,2021-03-11
IN,69,3,2021-03-11
KS,30,0,2021-03-11
KY,155,1,2021-03-11
LA,63,5,2021-03-11
MA,75,2,2021-03-11
MD,96,1,2021-03-11
ME,4,0,2021-03-11
MI,149,6,2021-03-11
MN,36,3,2021-03-11
MO,54,2,2021-03-11
WV,18,1,2021-03-11
WY,0,0,2021-03-11
