state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
ID,44,2,2020-11-15
IL,591,9,2020-11-15
IN,338,6,2020-11-15
KS,160,0,2020-11-15
KY,353,2,2020-11-15
LA,106,1,2020-11-15
MA,91,0,2020-11-15
MD,152,4,2020-11-15
ME,8,0,2020-11-15
MI,355,3,2020-11-15
MN,213,2,2020-11-15
MO,312,8,2020-11-15
MS,83,1,2020-11-15
PR,20,1,2020-11-15
RI,15,0,2020-11-15
SC,73,1,2020-11-15
SD,66,1,2020-11-15
TN,225,0,2020-11-15
TX,1064,25,2020-11-15
UT,69,1,2020-11-15
VA,98,2,2020-11-15
VI,0,0,2020-11-15
VT,0,0,2020-11-15
WA,75,1,2020-11-15
WI,487,7,2020-11-15
WV,44,0,2020-11-15
MT,101,3,2020-11-15
NC,180,2,2020-11-15
ND,40,0,2020-11-15
NE,111,1,2020-11-15
NH,12,0,2020-11-15
NJ,242,1,2020-11-15
NM,125,1,2020-11-15
NV,103,0,2020-11-15
NY,472,1,2020-11-15
OH,506,4,2020-11-15
OK,277,4,2020-11-15
OR,45,1,2020-11-15
PA,346,3,2020-11-15
AK,18,1,2020-11-15
AL,184,0,2020-11-15
AR,128,1,2020-11-15
AZ,185,4,2020-11-15
CA,575,3,2020-11-15
CO,208,5,2020-11-15
CT,96,0,2020-11-15
DC,11,1,2020-11-15
DE,16,4,2020-11-15
FL,424,4,2020-11-15
GA,370,20,2020-11-15
HI,10,0,2020-11-15
IA,253,6,2020-11-15
WY,31,1,2020-11-15
