state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,201,7,2021-03-09
PR,7,0,2021-03-09
RI,16,2,2021-03-09
SC,67,0,2021-03-09
SD,8,0,2021-03-09
TN,62,1,2021-03-09
TX,498,8,2021-03-09
UT,41,2,2021-03-09
VA,111,4,2021-03-09
VI,0,0,2021-03-09
VT,5,0,2021-03-09
WA,33,0,2021-03-09
WI,54,0,2021-03-09
MS,26,1,2021-03-09
MT,9,0,2021-03-09
NC,88,1,2021-03-09
ND,8,2,2021-03-09
NE,17,0,2021-03-09
NH,9,1,2021-03-09
NJ,246,4,2021-03-09
NM,22,1,2021-03-09
NV,51,0,2021-03-09
NY,511,8,2021-03-09
OH,152,6,2021-03-09
OK,49,0,2021-03-09
OR,23,1,2021-03-09
AK,4,0,2021-03-09
AL,64,0,2021-03-09
AR,26,4,2021-03-09
AZ,92,2,2021-03-09
CA,366,8,2021-03-09
CO,44,2,2021-03-09
CT,56,0,2021-03-09
DC,22,1,2021-03-09
DE,8,0,2021-03-09
FL,551,8,2021-03-09
GA,302,16,2021-03-09
HI,3,0,2021-03-09
IA,26,0,2021-03-09
ID,17,2,2021-03-09
IL,128,0,2021-03-09
IN,49,3,2021-03-09
KS,19,1,2021-03-09
KY,144,0,2021-03-09
LA,67,4,2021-03-09
MA,92,5,2021-03-09
MD,92,1,2021-03-09
ME,8,0,2021-03-09
MI,125,0,2021-03-09
MN,41,0,2021-03-09
MO,56,5,2021-03-09
WV,19,1,2021-03-09
WY,0,0,2021-03-09
