state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,43,1,2020-11-25
RI,37,0,2020-11-25
SC,92,0,2020-11-25
SD,61,3,2020-11-25
TN,288,6,2020-11-25
TX,1169,18,2020-11-25
UT,95,5,2020-11-25
VA,186,4,2020-11-25
VI,0,0,2020-11-25
VT,6,0,2020-11-25
WA,99,0,2020-11-25
WI,426,2,2020-11-25
WV,77,0,2020-11-25
MT,99,2,2020-11-25
NC,226,4,2020-11-25
ND,51,1,2020-11-25
NE,120,0,2020-11-25
NH,25,0,2020-11-25
NJ,318,3,2020-11-25
NM,120,0,2020-11-25
NV,166,1,2020-11-25
NY,677,10,2020-11-25
OH,691,8,2020-11-25
OK,359,5,2020-11-25
OR,69,2,2020-11-25
PA,571,3,2020-11-25
AK,28,2,2020-11-25
AL,239,3,2020-11-25
AR,135,3,2020-11-25
AZ,302,1,2020-11-25
CA,960,8,2020-11-25
CO,299,5,2020-11-25
CT,106,6,2020-11-25
DC,19,1,2020-11-25
DE,27,5,2020-11-25
FL,590,6,2020-11-25
GA,395,12,2020-11-25
HI,4,0,2020-11-25
IA,192,4,2020-11-25
ID,69,0,2020-11-25
IL,670,9,2020-11-25
IN,390,7,2020-11-25
KS,176,1,2020-11-25
KY,446,2,2020-11-25
LA,172,1,2020-11-25
MA,118,2,2020-11-25
MD,229,1,2020-11-25
ME,16,1,2020-11-25
MI,567,2,2020-11-25
MN,249,6,2020-11-25
MO,340,5,2020-11-25
MS,130,1,2020-11-25
WY,36,0,2020-11-25
