state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,6,0,2021-02-04
AL,206,1,2021-02-04
AR,112,4,2021-02-04
AZ,356,5,2021-02-04
CA,1249,22,2021-02-04
CO,98,7,2021-02-04
CT,125,2,2021-02-04
DC,41,3,2021-02-04
DE,35,1,2021-02-04
FL,775,13,2021-02-04
GA,471,20,2021-02-04
HI,8,0,2021-02-04
IA,52,0,2021-02-04
PR,19,1,2021-02-04
RI,31,1,2021-02-04
SC,199,2,2021-02-04
SD,8,0,2021-02-04
TN,141,2,2021-02-04
TX,1202,32,2021-02-04
UT,63,3,2021-02-04
VA,216,11,2021-02-04
VI,0,0,2021-02-04
VT,12,1,2021-02-04
WA,63,0,2021-02-04
WI,133,2,2021-02-04
WV,66,0,2021-02-04
ID,18,0,2021-02-04
IL,248,2,2021-02-04
IN,200,9,2021-02-04
KS,83,0,2021-02-04
KY,360,2,2021-02-04
LA,147,3,2021-02-04
MA,195,2,2021-02-04
MD,183,1,2021-02-04
ME,16,0,2021-02-04
MI,137,2,2021-02-04
MN,50,1,2021-02-04
MO,161,12,2021-02-04
MS,74,3,2021-02-04
MT,23,2,2021-02-04
NC,289,2,2021-02-04
ND,6,0,2021-02-04
NE,33,1,2021-02-04
NH,28,0,2021-02-04
NJ,395,2,2021-02-04
NM,52,0,2021-02-04
NV,138,3,2021-02-04
NY,910,7,2021-02-04
OH,324,6,2021-02-04
OK,228,5,2021-02-04
OR,35,1,2021-02-04
PA,388,2,2021-02-04
WY,8,0,2021-02-04
