state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,27,0,2021-01-31
RI,31,1,2021-01-31
SC,162,0,2021-01-31
SD,9,0,2021-01-31
TN,131,1,2021-01-31
TX,1270,26,2021-01-31
UT,68,2,2021-01-31
VA,178,4,2021-01-31
VI,1,0,2021-01-31
VT,8,1,2021-01-31
WA,63,3,2021-01-31
WI,129,2,2021-01-31
WV,42,0,2021-01-31
AK,4,0,2021-01-31
AL,207,4,2021-01-31
AR,104,5,2021-01-31
AZ,356,3,2021-01-31
CA,1348,14,2021-01-31
CO,82,1,2021-01-31
CT,129,0,2021-01-31
DC,19,1,2021-01-31
DE,33,2,2021-01-31
FL,798,14,2021-01-31
GA,582,17,2021-01-31
HI,8,0,2021-01-31
IA,41,0,2021-01-31
MT,22,1,2021-01-31
NC,283,3,2021-01-31
ND,8,0,2021-01-31
NE,28,3,2021-01-31
NH,17,0,2021-01-31
NJ,286,1,2021-01-31
NM,91,1,2021-01-31
NV,121,2,2021-01-31
NY,699,13,2021-01-31
OH,260,8,2021-01-31
OK,228,3,2021-01-31
OR,35,0,2021-01-31
PA,327,1,2021-01-31
ID,28,0,2021-01-31
IL,235,2,2021-01-31
IN,153,8,2021-01-31
KS,63,3,2021-01-31
KY,286,0,2021-01-31
LA,127,2,2021-01-31
MA,160,4,2021-01-31
MD,161,1,2021-01-31
ME,22,0,2021-01-31
MI,130,2,2021-01-31
MN,35,1,2021-01-31
MO,144,9,2021-01-31
MS,72,0,2021-01-31
WY,11,0,2021-01-31
