state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,594,9,2021-01-09
PR,37,2,2021-01-09
RI,34,0,2021-01-09
SC,298,2,2021-01-09
SD,19,0,2021-01-09
TN,0,0,2021-01-09
TX,1945,36,2021-01-09
UT,94,2,2021-01-09
VA,315,3,2021-01-09
VI,0,0,2021-01-09
VT,1,0,2021-01-09
WA,97,0,2021-01-09
WI,250,0,2021-01-09
AK,6,0,2021-01-09
AL,429,4,2021-01-09
AR,207,6,2021-01-09
AZ,628,4,2021-01-09
CA,2392,28,2021-01-09
CO,150,7,2021-01-09
CT,148,2,2021-01-09
DC,46,5,2021-01-09
DE,43,1,2021-01-09
FL,1208,14,2021-01-09
GA,915,19,2021-01-09
HI,12,0,2021-01-09
IA,87,2,2021-01-09
ID,40,1,2021-01-09
IL,398,5,2021-01-09
IN,340,8,2021-01-09
KS,154,3,2021-01-09
KY,396,4,2021-01-09
LA,260,5,2021-01-09
MA,282,8,2021-01-09
MD,270,1,2021-01-09
ME,14,2,2021-01-09
MI,285,7,2021-01-09
MN,85,2,2021-01-09
MO,304,4,2021-01-09
MS,160,0,2021-01-09
MT,50,2,2021-01-09
NC,441,5,2021-01-09
ND,17,0,2021-01-09
NE,55,4,2021-01-09
NH,39,0,2021-01-09
NJ,394,3,2021-01-09
NM,106,0,2021-01-09
NV,186,1,2021-01-09
NY,1157,11,2021-01-09
OH,550,8,2021-01-09
OK,404,7,2021-01-09
OR,54,3,2021-01-09
WV,92,2,2021-01-09
WY,18,0,2021-01-09
