state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,565,4,2021-01-14
PR,243,4,2021-01-14
RI,36,1,2021-01-14
SC,315,1,2021-01-14
SD,21,0,2021-01-14
TN,309,2,2021-01-14
TX,1943,22,2021-01-14
UT,82,0,2021-01-14
VA,322,10,2021-01-14
VI,0,0,2021-01-14
VT,7,0,2021-01-14
WA,101,0,2021-01-14
WI,256,0,2021-01-14
AK,6,0,2021-01-14
AL,396,3,2021-01-14
AR,174,2,2021-01-14
AZ,588,4,2021-01-14
CA,2150,26,2021-01-14
CO,144,4,2021-01-14
CT,188,3,2021-01-14
DC,36,2,2021-01-14
DE,54,3,2021-01-14
FL,1108,19,2021-01-14
GA,750,18,2021-01-14
HI,8,0,2021-01-14
IA,87,1,2021-01-14
MS,127,3,2021-01-14
MT,55,2,2021-01-14
NC,411,11,2021-01-14
ND,15,1,2021-01-14
NE,62,6,2021-01-14
NH,27,0,2021-01-14
NJ,427,2,2021-01-14
NM,100,0,2021-01-14
NV,145,1,2021-01-14
NY,1158,11,2021-01-14
OH,539,7,2021-01-14
OK,374,2,2021-01-14
OR,51,1,2021-01-14
ID,30,0,2021-01-14
IL,399,7,2021-01-14
IN,303,7,2021-01-14
KS,143,0,2021-01-14
KY,483,1,2021-01-14
LA,266,4,2021-01-14
MA,309,4,2021-01-14
MD,231,3,2021-01-14
ME,17,0,2021-01-14
MI,268,6,2021-01-14
MN,90,3,2021-01-14
MO,276,5,2021-01-14
WV,87,1,2021-01-14
WY,18,0,2021-01-14
