state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,40,0,2020-12-03
RI,27,2,2020-12-03
SC,146,0,2020-12-03
SD,46,2,2020-12-03
TN,315,4,2020-12-03
TX,1181,21,2020-12-03
UT,89,1,2020-12-03
VA,194,5,2020-12-03
VI,0,0,2020-12-03
VT,4,0,2020-12-03
WA,101,0,2020-12-03
WI,400,9,2020-12-03
WV,54,1,2020-12-03
AK,17,0,2020-12-03
AL,285,9,2020-12-03
AR,144,1,2020-12-03
AZ,282,1,2020-12-03
CA,1311,21,2020-12-03
CO,264,3,2020-12-03
CT,127,2,2020-12-03
DC,41,0,2020-12-03
DE,41,10,2020-12-03
FL,638,8,2020-12-03
GA,473,13,2020-12-03
HI,9,0,2020-12-03
IA,120,1,2020-12-03
MT,53,1,2020-12-03
NC,279,2,2020-12-03
ND,47,2,2020-12-03
NE,110,2,2020-12-03
NH,21,0,2020-12-03
NJ,378,3,2020-12-03
NM,156,0,2020-12-03
NV,174,1,2020-12-03
NY,836,8,2020-12-03
OH,710,8,2020-12-03
OK,323,2,2020-12-03
OR,63,1,2020-12-03
PA,692,12,2020-12-03
ID,56,1,2020-12-03
IL,595,7,2020-12-03
IN,382,6,2020-12-03
KS,160,1,2020-12-03
KY,465,2,2020-12-03
LA,214,4,2020-12-03
MA,196,1,2020-12-03
MD,265,0,2020-12-03
ME,18,0,2020-12-03
MI,501,7,2020-12-03
MN,175,5,2020-12-03
MO,307,4,2020-12-03
MS,149,3,2020-12-03
WY,25,0,2020-12-03
