state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,38,0,2020-11-28
RI,36,0,2020-11-28
SC,101,1,2020-11-28
SD,64,2,2020-11-28
TN,281,2,2020-11-28
TX,1120,18,2020-11-28
UT,86,1,2020-11-28
VA,158,1,2020-11-28
VI,1,0,2020-11-28
VT,3,0,2020-11-28
WA,112,2,2020-11-28
WI,415,4,2020-11-28
WV,69,1,2020-11-28
AK,15,0,2020-11-28
AL,245,1,2020-11-28
AR,112,1,2020-11-28
AZ,285,1,2020-11-28
CA,1146,8,2020-11-28
CO,282,0,2020-11-28
CT,115,2,2020-11-28
DC,13,1,2020-11-28
DE,27,10,2020-11-28
FL,687,14,2020-11-28
GA,393,10,2020-11-28
HI,1,0,2020-11-28
IA,134,3,2020-11-28
ID,59,0,2020-11-28
IL,585,3,2020-11-28
IN,391,6,2020-11-28
KS,160,0,2020-11-28
KY,326,3,2020-11-28
LA,168,3,2020-11-28
MA,139,1,2020-11-28
MD,205,0,2020-11-28
ME,20,0,2020-11-28
MI,587,11,2020-11-28
MN,241,3,2020-11-28
MO,269,4,2020-11-28
MS,135,0,2020-11-28
MT,68,0,2020-11-28
NC,200,3,2020-11-28
ND,47,2,2020-11-28
NE,100,4,2020-11-28
NH,25,0,2020-11-28
NJ,322,6,2020-11-28
NM,120,0,2020-11-28
NV,140,1,2020-11-28
NY,727,4,2020-11-28
OH,674,7,2020-11-28
OK,332,8,2020-11-28
OR,69,0,2020-11-28
PA,673,7,2020-11-28
WY,36,0,2020-11-28
