state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,46,0,2020-12-11
RI,34,1,2020-12-11
SC,152,2,2020-12-11
SD,44,3,2020-12-11
TN,361,2,2020-12-11
TX,1237,16,2020-12-11
UT,82,1,2020-12-11
VA,227,4,2020-12-11
VI,0,0,2020-12-11
VT,7,0,2020-12-11
WA,90,2,2020-12-11
WI,380,6,2020-12-11
WV,97,0,2020-12-11
AK,18,0,2020-12-11
AL,341,6,2020-12-11
AR,141,1,2020-12-11
AZ,498,12,2020-12-11
CA,1787,20,2020-12-11
CO,272,6,2020-12-11
CT,155,2,2020-12-11
DC,33,2,2020-12-11
DE,43,5,2020-12-11
FL,715,12,2020-12-11
GA,600,19,2020-12-11
HI,5,0,2020-12-11
IA,125,1,2020-12-11
MT,68,1,2020-12-11
NC,298,4,2020-12-11
ND,36,0,2020-12-11
NE,83,0,2020-12-11
NH,33,0,2020-12-11
NJ,479,4,2020-12-11
NM,120,0,2020-12-11
NV,202,2,2020-12-11
NY,1023,12,2020-12-11
OH,761,11,2020-12-11
OK,328,2,2020-12-11
OR,67,0,2020-12-11
PA,759,9,2020-12-11
ID,61,0,2020-12-11
IL,580,7,2020-12-11
IN,401,1,2020-12-11
KS,173,3,2020-12-11
KY,470,1,2020-12-11
LA,209,5,2020-12-11
MA,280,6,2020-12-11
MD,227,3,2020-12-11
ME,19,0,2020-12-11
MI,444,5,2020-12-11
MN,187,8,2020-12-11
MO,339,2,2020-12-11
MS,151,3,2020-12-11
WY,40,4,2020-12-11
