state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,12,1,2021-02-14
RI,9,0,2021-02-14
SC,96,2,2021-02-14
SD,6,1,2021-02-14
TN,80,1,2021-02-14
TX,930,21,2021-02-14
UT,37,2,2021-02-14
VA,163,2,2021-02-14
VI,0,0,2021-02-14
VT,2,0,2021-02-14
WA,42,0,2021-02-14
WI,87,1,2021-02-14
WV,34,1,2021-02-14
MT,19,1,2021-02-14
NC,217,5,2021-02-14
ND,7,0,2021-02-14
NE,15,0,2021-02-14
NH,17,0,2021-02-14
NJ,220,1,2021-02-14
NM,38,1,2021-02-14
NV,76,3,2021-02-14
NY,623,8,2021-02-14
OH,213,4,2021-02-14
OK,129,2,2021-02-14
OR,28,2,2021-02-14
PA,216,3,2021-02-14
AK,4,0,2021-02-14
AL,118,0,2021-02-14
AR,70,2,2021-02-14
AZ,202,9,2021-02-14
CA,802,20,2021-02-14
CO,55,1,2021-02-14
CT,90,3,2021-02-14
DC,17,0,2021-02-14
DE,28,0,2021-02-14
FL,624,16,2021-02-14
GA,394,17,2021-02-14
HI,5,0,2021-02-14
IA,35,0,2021-02-14
ID,25,0,2021-02-14
IL,166,2,2021-02-14
IN,92,10,2021-02-14
KS,41,2,2021-02-14
KY,208,0,2021-02-14
LA,82,2,2021-02-14
MA,116,4,2021-02-14
MD,117,1,2021-02-14
ME,9,0,2021-02-14
MI,78,3,2021-02-14
MN,34,2,2021-02-14
MO,102,1,2021-02-14
MS,51,5,2021-02-14
WY,8,0,2021-02-14
