state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,31,1,2020-12-08
RI,45,0,2020-12-08
SC,162,1,2020-12-08
SD,58,3,2020-12-08
TN,323,5,2020-12-08
TX,1174,15,2020-12-08
UT,92,3,2020-12-08
VA,182,2,2020-12-08
VI,1,0,2020-12-08
VT,2,0,2020-12-08
WA,114,0,2020-12-08
WI,383,3,2020-12-08
WV,84,0,2020-12-08
MT,49,3,2020-12-08
NC,295,2,2020-12-08
ND,45,2,2020-12-08
NE,95,0,2020-12-08
NH,58,0,2020-12-08
NJ,410,4,2020-12-08
NM,121,2,2020-12-08
NV,179,0,2020-12-08
NY,889,14,2020-12-08
OH,709,14,2020-12-08
OK,300,1,2020-12-08
OR,57,4,2020-12-08
PA,766,6,2020-12-08
AK,19,0,2020-12-08
AL,320,1,2020-12-08
AR,164,3,2020-12-08
AZ,474,4,2020-12-08
CA,1535,13,2020-12-08
CO,251,4,2020-12-08
CT,168,1,2020-12-08
DC,27,0,2020-12-08
DE,36,10,2020-12-08
FL,650,13,2020-12-08
GA,541,13,2020-12-08
HI,9,0,2020-12-08
IA,140,2,2020-12-08
ID,58,2,2020-12-08
IL,566,8,2020-12-08
IN,404,6,2020-12-08
KS,171,0,2020-12-08
KY,402,0,2020-12-08
LA,224,4,2020-12-08
MA,232,6,2020-12-08
MD,246,1,2020-12-08
ME,20,0,2020-12-08
MI,497,6,2020-12-08
MN,166,7,2020-12-08
MO,346,1,2020-12-08
MS,130,1,2020-12-08
WY,32,0,2020-12-08
