state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,25,1,2021-02-06
RI,13,0,2021-02-06
SC,177,1,2021-02-06
SD,11,1,2021-02-06
TN,140,0,2021-02-06
TX,1207,26,2021-02-06
UT,55,2,2021-02-06
VA,232,3,2021-02-06
VI,0,0,2021-02-06
VT,8,0,2021-02-06
WA,72,1,2021-02-06
WI,110,2,2021-02-06
WV,48,1,2021-02-06
AK,2,0,2021-02-06
AL,202,7,2021-02-06
AR,106,1,2021-02-06
AZ,329,3,2021-02-06
CA,1127,26,2021-02-06
CO,86,2,2021-02-06
CT,130,1,2021-02-06
DC,29,1,2021-02-06
DE,23,2,2021-02-06
FL,870,13,2021-02-06
GA,573,25,2021-02-06
HI,4,1,2021-02-06
IA,65,1,2021-02-06
ID,31,1,2021-02-06
IL,213,2,2021-02-06
IN,163,5,2021-02-06
KS,69,1,2021-02-06
KY,323,2,2021-02-06
LA,120,3,2021-02-06
MA,201,2,2021-02-06
MD,181,0,2021-02-06
ME,11,0,2021-02-06
MI,138,3,2021-02-06
MN,55,2,2021-02-06
MO,128,5,2021-02-06
MS,65,2,2021-02-06
MT,23,0,2021-02-06
NC,266,3,2021-02-06
ND,12,0,2021-02-06
NE,31,1,2021-02-06
NH,19,0,2021-02-06
NJ,356,0,2021-02-06
NM,64,0,2021-02-06
NV,98,1,2021-02-06
NY,886,8,2021-02-06
OH,272,7,2021-02-06
OK,217,8,2021-02-06
OR,33,3,2021-02-06
PA,360,36,2021-02-06
WY,10,0,2021-02-06
