state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,10,1,2020-12-30
AL,420,3,2020-12-30
AR,179,3,2020-12-30
AZ,524,7,2020-12-30
CA,2356,31,2020-12-30
CO,158,8,2020-12-30
CT,144,0,2020-12-30
DC,35,3,2020-12-30
DE,41,0,2020-12-30
FL,1062,20,2020-12-30
GA,799,15,2020-12-30
HI,9,0,2020-12-30
IA,87,0,2020-12-30
OR,62,2,2020-12-30
PA,674,6,2020-12-30
PR,45,1,2020-12-30
RI,40,1,2020-12-30
SC,269,2,2020-12-30
SD,27,0,2020-12-30
TN,401,4,2020-12-30
TX,1806,39,2020-12-30
UT,94,1,2020-12-30
VA,286,3,2020-12-30
VI,0,0,2020-12-30
VT,5,0,2020-12-30
WA,93,1,2020-12-30
MS,183,1,2020-12-30
MT,39,0,2020-12-30
NC,367,5,2020-12-30
ND,23,0,2020-12-30
NE,53,3,2020-12-30
NH,48,0,2020-12-30
NJ,474,4,2020-12-30
NM,120,2,2020-12-30
NV,168,6,2020-12-30
NY,1069,18,2020-12-30
OH,636,11,2020-12-30
OK,424,4,2020-12-30
ID,38,1,2020-12-30
IL,420,7,2020-12-30
IN,339,6,2020-12-30
KS,146,0,2020-12-30
KY,410,3,2020-12-30
LA,249,2,2020-12-30
MA,320,3,2020-12-30
MD,234,2,2020-12-30
ME,8,0,2020-12-30
MI,311,10,2020-12-30
MN,115,1,2020-12-30
MO,267,6,2020-12-30
WI,241,3,2020-12-30
WV,101,1,2020-12-30
WY,19,0,2020-12-30
