state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,7,0,2021-02-18
AL,157,6,2021-02-18
AR,66,3,2021-02-18
AZ,161,3,2021-02-18
CA,697,15,2021-02-18
CO,84,1,2021-02-18
CT,87,0,2021-02-18
DC,25,1,2021-02-18
DE,23,0,2021-02-18
FL,686,15,2021-02-18
GA,385,17,2021-02-18
HI,3,0,2021-02-18
IA,45,0,2021-02-18
PR,25,0,2021-02-18
RI,14,1,2021-02-18
SC,134,1,2021-02-18
SD,10,0,2021-02-18
TN,82,1,2021-02-18
TX,756,17,2021-02-18
UT,33,4,2021-02-18
VA,159,5,2021-02-18
VI,0,0,2021-02-18
VT,4,0,2021-02-18
WA,53,2,2021-02-18
WI,90,3,2021-02-18
WV,42,1,2021-02-18
MT,23,1,2021-02-18
NC,185,6,2021-02-18
ND,8,2,2021-02-18
NE,24,0,2021-02-18
NH,9,0,2021-02-18
NJ,227,4,2021-02-18
NM,38,0,2021-02-18
NV,78,1,2021-02-18
NY,592,8,2021-02-18
OH,230,6,2021-02-18
OK,134,0,2021-02-18
OR,24,0,2021-02-18
PA,277,4,2021-02-18
ID,13,1,2021-02-18
IL,183,2,2021-02-18
IN,117,5,2021-02-18
KS,57,1,2021-02-18
KY,242,1,2021-02-18
LA,80,22,2021-02-18
MA,119,1,2021-02-18
MD,135,1,2021-02-18
ME,10,0,2021-02-18
MI,98,2,2021-02-18
MN,42,3,2021-02-18
MO,80,2,2021-02-18
MS,33,0,2021-02-18
WY,8,0,2021-02-18
