state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,191,7,2021-03-05
PR,222,0,2021-03-05
RI,16,0,2021-03-05
SC,94,1,2021-03-05
SD,7,1,2021-03-05
TN,82,0,2021-03-05
TX,586,19,2021-03-05
UT,35,2,2021-03-05
VA,123,6,2021-03-05
VI,0,0,2021-03-05
VT,6,1,2021-03-05
WA,29,1,2021-03-05
WI,69,0,2021-03-05
AK,3,0,2021-03-05
AL,72,1,2021-03-05
AR,28,1,2021-03-05
AZ,97,0,2021-03-05
CA,421,20,2021-03-05
CO,60,4,2021-03-05
CT,85,2,2021-03-05
DC,13,2,2021-03-05
DE,14,1,2021-03-05
FL,513,13,2021-03-05
GA,388,13,2021-03-05
HI,0,0,2021-03-05
IA,33,0,2021-03-05
MS,40,1,2021-03-05
MT,19,1,2021-03-05
NC,115,0,2021-03-05
ND,7,2,2021-03-05
NE,9,0,2021-03-05
NH,9,0,2021-03-05
NJ,225,1,2021-03-05
NM,19,0,2021-03-05
NV,50,0,2021-03-05
NY,527,11,2021-03-05
OH,136,10,2021-03-05
OK,74,1,2021-03-05
OR,18,0,2021-03-05
ID,22,0,2021-03-05
IL,148,4,2021-03-05
IN,73,4,2021-03-05
KS,44,2,2021-03-05
KY,182,0,2021-03-05
LA,74,3,2021-03-05
MA,113,0,2021-03-05
MD,94,3,2021-03-05
ME,13,0,2021-03-05
MI,113,4,2021-03-05
MN,36,1,2021-03-05
MO,66,4,2021-03-05
WV,15,0,2021-03-05
WY,1,0,2021-03-05
