state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,22,2,2020-11-21
AL,185,2,2020-11-21
AR,128,1,2020-11-21
AZ,268,1,2020-11-21
CA,806,16,2020-11-21
CO,299,2,2020-11-21
CT,103,1,2020-11-21
DC,12,1,2020-11-21
DE,21,4,2020-11-21
FL,539,6,2020-11-21
GA,456,6,2020-11-21
HI,10,0,2020-11-21
IA,188,2,2020-11-21
PR,44,1,2020-11-21
RI,30,0,2020-11-21
SC,79,1,2020-11-21
SD,61,0,2020-11-21
TN,230,2,2020-11-21
TX,1224,21,2020-11-21
UT,81,1,2020-11-21
VA,127,1,2020-11-21
VI,1,0,2020-11-21
VT,4,0,2020-11-21
WA,102,2,2020-11-21
WI,432,1,2020-11-21
WV,76,1,2020-11-21
MT,93,2,2020-11-21
NC,199,1,2020-11-21
ND,41,0,2020-11-21
NE,118,2,2020-11-21
NH,7,0,2020-11-21
NJ,332,3,2020-11-21
NM,120,1,2020-11-21
NV,144,1,2020-11-21
NY,622,10,2020-11-21
OH,704,5,2020-11-21
OK,369,5,2020-11-21
OR,48,0,2020-11-21
PA,493,3,2020-11-21
ID,52,0,2020-11-21
IL,620,6,2020-11-21
IN,365,3,2020-11-21
KS,214,1,2020-11-21
KY,349,0,2020-11-21
LA,141,2,2020-11-21
MA,132,8,2020-11-21
MD,168,4,2020-11-21
ME,13,0,2020-11-21
MI,472,4,2020-11-21
MN,211,1,2020-11-21
MO,366,2,2020-11-21
MS,134,1,2020-11-21
WY,35,1,2020-11-21
