state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,5,1,2021-01-23
AL,263,5,2021-01-23
AR,142,1,2021-01-23
AZ,499,3,2021-01-23
CA,1780,15,2021-01-23
CO,120,5,2021-01-23
CT,164,0,2021-01-23
DC,36,2,2021-01-23
DE,45,1,2021-01-23
FL,1029,19,2021-01-23
GA,676,18,2021-01-23
HI,12,0,2021-01-23
IA,49,0,2021-01-23
PR,26,0,2021-01-23
RI,39,0,2021-01-23
SC,275,2,2021-01-23
SD,12,1,2021-01-23
TN,137,2,2021-01-23
TX,1583,26,2021-01-23
UT,68,3,2021-01-23
VA,267,0,2021-01-23
VI,0,0,2021-01-23
VT,8,0,2021-01-23
WA,95,1,2021-01-23
WI,193,2,2021-01-23
WV,85,0,2021-01-23
ID,25,1,2021-01-23
IL,297,1,2021-01-23
IN,242,4,2021-01-23
KS,119,1,2021-01-23
KY,385,2,2021-01-23
LA,198,2,2021-01-23
MA,222,3,2021-01-23
MD,196,1,2021-01-23
ME,10,0,2021-01-23
MI,188,1,2021-01-23
MN,61,3,2021-01-23
MO,191,3,2021-01-23
MS,96,0,2021-01-23
MT,27,1,2021-01-23
NC,399,26,2021-01-23
ND,10,0,2021-01-23
NE,45,0,2021-01-23
NH,28,0,2021-01-23
NJ,399,3,2021-01-23
NM,96,1,2021-01-23
NV,149,3,2021-01-23
NY,958,12,2021-01-23
OH,402,8,2021-01-23
OK,290,5,2021-01-23
OR,37,1,2021-01-23
PA,479,7,2021-01-23
WY,12,1,2021-01-23
