state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,8,0,2021-02-26
RI,14,0,2021-02-26
SC,97,2,2021-02-26
SD,10,0,2021-02-26
TN,129,4,2021-02-26
TX,607,16,2021-02-26
UT,28,1,2021-02-26
VA,353,42,2021-02-26
VI,1,0,2021-02-26
VT,6,0,2021-02-26
WA,56,0,2021-02-26
WI,57,3,2021-02-26
WV,18,0,2021-02-26
AK,3,0,2021-02-26
AL,88,0,2021-02-26
AR,52,2,2021-02-26
AZ,154,0,2021-02-26
CA,496,20,2021-02-26
CO,87,4,2021-02-26
CT,79,0,2021-02-26
DC,17,4,2021-02-26
DE,19,1,2021-02-26
FL,568,20,2021-02-26
GA,302,11,2021-02-26
HI,3,0,2021-02-26
IA,35,0,2021-02-26
MT,13,0,2021-02-26
NC,174,1,2021-02-26
ND,10,0,2021-02-26
NE,28,0,2021-02-26
NH,9,0,2021-02-26
NJ,230,1,2021-02-26
NM,27,1,2021-02-26
NV,56,1,2021-02-26
NY,609,11,2021-02-26
OH,192,3,2021-02-26
OK,98,2,2021-02-26
OR,23,1,2021-02-26
PA,213,5,2021-02-26
ID,13,1,2021-02-26
IL,162,0,2021-02-26
IN,88,4,2021-02-26
KS,38,1,2021-02-26
KY,182,1,2021-02-26
LA,81,2,2021-02-26
MA,110,1,2021-02-26
MD,100,0,2021-02-26
ME,10,0,2021-02-26
MI,100,1,2021-02-26
MN,29,1,2021-02-26
MO,69,5,2021-02-26
MS,45,2,2021-02-26
WY,7,0,2021-02-26
