state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PA,271,4,2021-02-23
PR,5,0,2021-02-23
RI,8,0,2021-02-23
SC,116,3,2021-02-23
SD,15,1,2021-02-23
TN,83,3,2021-02-23
TX,773,10,2021-02-23
UT,34,2,2021-02-23
VA,147,3,2021-02-23
VI,1,0,2021-02-23
VT,3,0,2021-02-23
WA,52,0,2021-02-23
WI,79,0,2021-02-23
AK,8,1,2021-02-23
AL,122,1,2021-02-23
AR,79,0,2021-02-23
AZ,141,3,2021-02-23
CA,623,15,2021-02-23
CO,82,2,2021-02-23
CT,81,0,2021-02-23
DC,21,2,2021-02-23
DE,18,1,2021-02-23
FL,675,8,2021-02-23
GA,420,21,2021-02-23
HI,5,0,2021-02-23
IA,50,2,2021-02-23
MS,53,0,2021-02-23
MT,16,1,2021-02-23
NC,148,2,2021-02-23
ND,8,0,2021-02-23
NE,22,0,2021-02-23
NH,12,0,2021-02-23
NJ,254,2,2021-02-23
NM,29,0,2021-02-23
NV,59,2,2021-02-23
NY,592,11,2021-02-23
OH,202,3,2021-02-23
OK,141,3,2021-02-23
OR,28,1,2021-02-23
ID,28,0,2021-02-23
IL,175,2,2021-02-23
IN,99,11,2021-02-23
KS,58,0,2021-02-23
KY,227,2,2021-02-23
LA,78,1,2021-02-23
MA,109,2,2021-02-23
MD,103,1,2021-02-23
ME,3,0,2021-02-23
MI,107,3,2021-02-23
MN,51,2,2021-02-23
MO,80,1,2021-02-23
WV,32,0,2021-02-23
WY,3,1,2021-02-23
