state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,22,0,2021-01-13
RI,35,0,2021-01-13
SC,334,1,2021-01-13
SD,17,1,2021-01-13
TN,240,1,2021-01-13
TX,1826,25,2021-01-13
UT,90,3,2021-01-13
VA,329,6,2021-01-13
VI,0,0,2021-01-13
VT,8,0,2021-01-13
WA,99,0,2021-01-13
WI,266,2,2021-01-13
WV,71,0,2021-01-13
ID,46,0,2021-01-13
IL,403,2,2021-01-13
IN,329,7,2021-01-13
KS,139,0,2021-01-13
KY,439,4,2021-01-13
LA,252,2,2021-01-13
MA,339,6,2021-01-13
MD,234,3,2021-01-13
ME,27,0,2021-01-13
MI,256,6,2021-01-13
MN,89,1,2021-01-13
MO,252,9,2021-01-13
MS,130,3,2021-01-13
AK,11,1,2021-01-13
AL,417,0,2021-01-13
AR,186,3,2021-01-13
AZ,607,1,2021-01-13
CA,2199,36,2021-01-13
CO,86,4,2021-01-13
CT,152,2,2021-01-13
DC,32,2,2021-01-13
DE,52,3,2021-01-13
FL,1218,19,2021-01-13
GA,689,19,2021-01-13
HI,12,0,2021-01-13
IA,85,1,2021-01-13
MT,48,4,2021-01-13
NC,480,12,2021-01-13
ND,11,1,2021-01-13
NE,57,6,2021-01-13
NH,38,0,2021-01-13
NJ,423,6,2021-01-13
NM,91,1,2021-01-13
NV,168,1,2021-01-13
NY,1164,13,2021-01-13
OH,508,6,2021-01-13
OK,360,1,2021-01-13
OR,57,0,2021-01-13
PA,539,2,2021-01-13
WY,12,0,2021-01-13
