state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,6,0,2021-02-25
AL,111,0,2021-02-25
AR,69,0,2021-02-25
AZ,140,3,2021-02-25
CA,539,18,2021-02-25
CO,73,3,2021-02-25
CT,71,0,2021-02-25
DC,19,1,2021-02-25
DE,27,1,2021-02-25
FL,581,17,2021-02-25
GA,304,11,2021-02-25
HI,5,0,2021-02-25
IA,26,0,2021-02-25
PR,215,0,2021-02-25
RI,19,0,2021-02-25
SC,112,3,2021-02-25
SD,15,0,2021-02-25
TN,140,4,2021-02-25
TX,667,13,2021-02-25
UT,43,2,2021-02-25
VA,166,4,2021-02-25
VI,0,0,2021-02-25
VT,5,0,2021-02-25
WA,39,0,2021-02-25
WI,76,3,2021-02-25
WV,25,2,2021-02-25
MT,14,1,2021-02-25
NC,168,0,2021-02-25
ND,4,1,2021-02-25
NE,22,0,2021-02-25
NH,10,0,2021-02-25
NJ,259,1,2021-02-25
NM,24,0,2021-02-25
NV,59,0,2021-02-25
NY,679,8,2021-02-25
OH,165,8,2021-02-25
OK,116,2,2021-02-25
OR,23,1,2021-02-25
PA,254,1,2021-02-25
ID,12,0,2021-02-25
IL,170,4,2021-02-25
IN,91,6,2021-02-25
KS,45,0,2021-02-25
KY,219,0,2021-02-25
LA,87,2,2021-02-25
MA,101,0,2021-02-25
MD,124,0,2021-02-25
ME,9,0,2021-02-25
MI,110,3,2021-02-25
MN,42,3,2021-02-25
MO,67,5,2021-02-25
MS,45,0,2021-02-25
WY,5,0,2021-02-25
