state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,13,1,2020-12-19
AL,344,4,2020-12-19
AR,154,1,2020-12-19
AZ,517,3,2020-12-19
CA,2338,26,2020-12-19
CO,194,1,2020-12-19
CT,98,3,2020-12-19
DC,28,1,2020-12-19
DE,38,1,2020-12-19
FL,790,5,2020-12-19
GA,566,17,2020-12-19
HI,8,0,2020-12-19
IA,92,0,2020-12-19
PR,26,0,2020-12-19
RI,27,0,2020-12-19
SC,184,3,2020-12-19
SD,29,1,2020-12-19
TN,75,0,2020-12-19
TX,1376,33,2020-12-19
UT,60,5,2020-12-19
VA,259,1,2020-12-19
VI,0,0,2020-12-19
VT,3,0,2020-12-19
WA,94,1,2020-12-19
WI,303,9,2020-12-19
WV,75,1,2020-12-19
ID,65,1,2020-12-19
IL,483,7,2020-12-19
IN,385,10,2020-12-19
KS,147,5,2020-12-19
KY,361,3,2020-12-19
LA,192,2,2020-12-19
MA,251,3,2020-12-19
MD,226,2,2020-12-19
ME,14,0,2020-12-19
MI,350,9,2020-12-19
MN,117,0,2020-12-19
MO,285,4,2020-12-19
MS,156,5,2020-12-19
MT,39,3,2020-12-19
NC,308,2,2020-12-19
ND,30,0,2020-12-19
NE,58,6,2020-12-19
NH,32,2,2020-12-19
NJ,410,3,2020-12-19
NM,116,0,2020-12-19
NV,138,2,2020-12-19
NY,878,9,2020-12-19
OH,693,6,2020-12-19
OK,367,3,2020-12-19
OR,72,0,2020-12-19
PA,675,7,2020-12-19
WY,24,0,2020-12-19
