state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,7,0,2021-01-28
AL,283,1,2021-01-28
AR,142,2,2021-01-28
AZ,450,4,2021-01-28
CA,1541,20,2021-01-28
CO,88,1,2021-01-28
CT,133,4,2021-01-28
DC,25,0,2021-01-28
DE,31,1,2021-01-28
FL,981,18,2021-01-28
GA,598,22,2021-01-28
HI,9,1,2021-01-28
IA,55,2,2021-01-28
PR,13,2,2021-01-28
RI,27,0,2021-01-28
SC,216,1,2021-01-28
SD,14,0,2021-01-28
TN,181,5,2021-01-28
TX,1518,27,2021-01-28
UT,72,1,2021-01-28
VA,266,5,2021-01-28
VI,2,0,2021-01-28
VT,19,0,2021-01-28
WA,101,1,2021-01-28
WI,158,7,2021-01-28
WV,58,1,2021-01-28
MT,24,0,2021-01-28
NC,362,6,2021-01-28
ND,8,1,2021-01-28
NE,31,0,2021-01-28
NH,24,0,2021-01-28
NJ,360,6,2021-01-28
NM,74,0,2021-01-28
NV,112,2,2021-01-28
NY,918,10,2021-01-28
OH,369,7,2021-01-28
OK,266,2,2021-01-28
OR,39,3,2021-01-28
PA,445,3,2021-01-28
ID,27,2,2021-01-28
IL,296,5,2021-01-28
IN,212,8,2021-01-28
KS,84,2,2021-01-28
KY,352,3,2021-01-28
LA,202,5,2021-01-28
MA,224,1,2021-01-28
MD,229,3,2021-01-28
ME,8,0,2021-01-28
MI,158,3,2021-01-28
MN,82,1,2021-01-28
MO,155,9,2021-01-28
MS,87,4,2021-01-28
WY,1,0,2021-01-28
