state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,228,1,2021-01-18
RI,24,0,2021-01-18
SC,232,0,2021-01-18
SD,12,0,2021-01-18
TN,218,0,2021-01-18
TX,1527,18,2021-01-18
UT,66,3,2021-01-18
VA,248,3,2021-01-18
VI,0,0,2021-01-18
VT,5,0,2021-01-18
WA,94,0,2021-01-18
WI,186,2,2021-01-18
WV,71,0,2021-01-18
MT,30,2,2021-01-18
NC,339,3,2021-01-18
ND,10,1,2021-01-18
NE,41,1,2021-01-18
NH,30,0,2021-01-18
NJ,362,0,2021-01-18
NM,211,0,2021-01-18
NV,156,0,2021-01-18
NY,907,11,2021-01-18
OH,467,7,2021-01-18
OK,288,3,2021-01-18
OR,35,1,2021-01-18
PA,443,0,2021-01-18
AK,4,1,2021-01-18
AL,339,3,2021-01-18
AR,158,1,2021-01-18
AZ,512,6,2021-01-18
CA,1852,26,2021-01-18
CO,96,0,2021-01-18
CT,126,2,2021-01-18
DC,19,3,2021-01-18
DE,55,1,2021-01-18
FL,966,8,2021-01-18
GA,372,2,2021-01-18
HI,10,1,2021-01-18
IA,55,0,2021-01-18
ID,27,0,2021-01-18
IL,288,0,2021-01-18
IN,214,4,2021-01-18
KS,95,0,2021-01-18
KY,379,0,2021-01-18
LA,164,3,2021-01-18
MA,203,2,2021-01-18
MD,230,1,2021-01-18
ME,10,0,2021-01-18
MI,211,2,2021-01-18
MN,60,2,2021-01-18
MO,161,2,2021-01-18
MS,104,1,2021-01-18
WY,12,0,2021-01-18
