state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,9,0,2021-03-10
RI,21,2,2021-03-10
SC,80,2,2021-03-10
SD,11,0,2021-03-10
TN,70,0,2021-03-10
TX,536,14,2021-03-10
UT,28,1,2021-03-10
VA,126,1,2021-03-10
VI,1,0,2021-03-10
VT,6,1,2021-03-10
WA,46,0,2021-03-10
WI,62,0,2021-03-10
WV,17,1,2021-03-10
AK,6,0,2021-03-10
AL,68,1,2021-03-10
AR,28,0,2021-03-10
AZ,95,4,2021-03-10
CA,391,10,2021-03-10
CO,43,0,2021-03-10
CT,81,0,2021-03-10
DC,17,2,2021-03-10
DE,15,0,2021-03-10
FL,512,11,2021-03-10
GA,385,15,2021-03-10
HI,3,0,2021-03-10
IA,28,0,2021-03-10
ID,20,0,2021-03-10
IL,137,2,2021-03-10
IN,58,4,2021-03-10
KS,18,1,2021-03-10
KY,150,0,2021-03-10
LA,65,5,2021-03-10
MA,101,0,2021-03-10
MD,106,1,2021-03-10
ME,4,0,2021-03-10
MI,143,5,2021-03-10
MN,41,0,2021-03-10
MO,57,4,2021-03-10
MS,32,2,2021-03-10
MT,13,1,2021-03-10
NC,129,0,2021-03-10
ND,11,0,2021-03-10
NE,20,0,2021-03-10
NH,16,0,2021-03-10
NJ,234,3,2021-03-10
NM,23,0,2021-03-10
NV,49,0,2021-03-10
NY,525,12,2021-03-10
OH,167,7,2021-03-10
OK,72,1,2021-03-10
OR,32,1,2021-03-10
PA,209,6,2021-03-10
WY,7,1,2021-03-10
