state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,12,0,2020-12-20
AL,344,4,2020-12-20
AR,162,0,2020-12-20
AZ,451,3,2020-12-20
CA,2200,25,2020-12-20
CO,182,1,2020-12-20
CT,98,3,2020-12-20
DC,29,3,2020-12-20
DE,42,1,2020-12-20
FL,729,2,2020-12-20
GA,567,17,2020-12-20
HI,10,0,2020-12-20
IA,92,1,2020-12-20
PR,34,0,2020-12-20
RI,30,1,2020-12-20
SC,198,3,2020-12-20
SD,36,1,2020-12-20
TN,47,0,2020-12-20
TX,1376,33,2020-12-20
UT,87,8,2020-12-20
VA,239,2,2020-12-20
VI,0,0,2020-12-20
VT,1,0,2020-12-20
WA,110,0,2020-12-20
WI,295,4,2020-12-20
WV,74,1,2020-12-20
ID,58,2,2020-12-20
IL,483,9,2020-12-20
IN,362,6,2020-12-20
KS,155,4,2020-12-20
KY,369,2,2020-12-20
LA,222,2,2020-12-20
MA,284,0,2020-12-20
MD,236,3,2020-12-20
ME,13,0,2020-12-20
MI,357,7,2020-12-20
MN,141,2,2020-12-20
MO,292,6,2020-12-20
MS,164,5,2020-12-20
MT,45,2,2020-12-20
NC,304,1,2020-12-20
ND,25,0,2020-12-20
NE,61,5,2020-12-20
NH,38,0,2020-12-20
NJ,401,4,2020-12-20
NM,137,1,2020-12-20
NV,139,1,2020-12-20
NY,856,9,2020-12-20
OH,713,6,2020-12-20
OK,316,5,2020-12-20
OR,65,0,2020-12-20
PA,693,6,2020-12-20
WY,25,0,2020-12-20
