state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,14,1,2021-01-17
RI,37,1,2021-01-17
SC,231,1,2021-01-17
SD,13,0,2021-01-17
TN,218,1,2021-01-17
TX,1693,36,2021-01-17
UT,82,3,2021-01-17
VA,300,2,2021-01-17
VI,0,0,2021-01-17
VT,5,0,2021-01-17
WA,86,0,2021-01-17
WI,186,0,2021-01-17
WV,61,1,2021-01-17
MT,40,2,2021-01-17
NC,402,7,2021-01-17
ND,12,1,2021-01-17
NE,29,1,2021-01-17
NH,28,0,2021-01-17
NJ,372,0,2021-01-17
NM,111,0,2021-01-17
NV,140,1,2021-01-17
NY,1038,6,2021-01-17
OH,492,9,2021-01-17
OK,285,4,2021-01-17
OR,41,0,2021-01-17
PA,487,5,2021-01-17
ID,30,1,2021-01-17
IL,314,4,2021-01-17
IN,294,9,2021-01-17
KS,151,1,2021-01-17
KY,417,1,2021-01-17
LA,179,4,2021-01-17
MA,239,5,2021-01-17
MD,234,2,2021-01-17
ME,22,0,2021-01-17
MI,230,4,2021-01-17
MN,52,1,2021-01-17
MO,204,4,2021-01-17
MS,128,4,2021-01-17
AK,5,0,2021-01-17
AL,298,4,2021-01-17
AR,135,3,2021-01-17
AZ,542,0,2021-01-17
CA,1885,28,2021-01-17
CO,112,1,2021-01-17
CT,166,2,2021-01-17
DC,28,0,2021-01-17
DE,59,0,2021-01-17
FL,960,16,2021-01-17
GA,426,1,2021-01-17
HI,9,0,2021-01-17
IA,53,2,2021-01-17
WY,21,2,2021-01-17
