state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
PR,28,0,2021-01-12
RI,25,1,2021-01-12
SC,336,3,2021-01-12
SD,28,0,2021-01-12
TN,330,7,2021-01-12
TX,1729,29,2021-01-12
UT,93,4,2021-01-12
VA,315,4,2021-01-12
VI,0,0,2021-01-12
VT,16,0,2021-01-12
WA,113,1,2021-01-12
WI,244,3,2021-01-12
WV,87,1,2021-01-12
AK,8,1,2021-01-12
AL,433,1,2021-01-12
AR,172,1,2021-01-12
AZ,540,3,2021-01-12
CA,2187,29,2021-01-12
CO,102,5,2021-01-12
CT,150,2,2021-01-12
DC,52,2,2021-01-12
DE,47,2,2021-01-12
FL,1190,13,2021-01-12
GA,755,19,2021-01-12
HI,8,0,2021-01-12
IA,81,1,2021-01-12
MT,39,3,2021-01-12
NC,393,0,2021-01-12
ND,18,0,2021-01-12
NE,51,61,2021-01-12
NH,34,0,2021-01-12
NJ,469,5,2021-01-12
NM,92,0,2021-01-12
NV,171,2,2021-01-12
NY,1026,10,2021-01-12
OH,596,10,2021-01-12
OK,362,1,2021-01-12
OR,47,0,2021-01-12
PA,601,4,2021-01-12
ID,42,0,2021-01-12
IL,438,5,2021-01-12
IN,316,6,2021-01-12
KS,139,1,2021-01-12
KY,455,1,2021-01-12
LA,259,3,2021-01-12
MA,273,5,2021-01-12
MD,232,1,2021-01-12
ME,22,0,2021-01-12
MI,296,7,2021-01-12
MN,89,3,2021-01-12
MO,287,4,2021-01-12
MS,148,4,2021-01-12
WY,19,1,2021-01-12
