state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,18,1,2020-12-13
AL,336,4,2020-12-13
AR,153,0,2020-12-13
AZ,459,6,2020-12-13
CA,1964,29,2020-12-13
CO,221,5,2020-12-13
CT,166,3,2020-12-13
DC,24,1,2020-12-13
DE,43,8,2020-12-13
FL,677,10,2020-12-13
GA,470,11,2020-12-13
HI,4,0,2020-12-13
IA,71,0,2020-12-13
MT,54,1,2020-12-13
NC,326,4,2020-12-13
ND,18,0,2020-12-13
NE,74,2,2020-12-13
NH,43,0,2020-12-13
NJ,470,4,2020-12-13
NM,140,0,2020-12-13
NV,154,1,2020-12-13
NY,964,3,2020-12-13
OH,604,19,2020-12-13
OK,312,3,2020-12-13
OR,51,0,2020-12-13
PA,724,8,2020-12-13
PR,38,2,2020-12-13
RI,30,0,2020-12-13
SC,186,0,2020-12-13
SD,45,0,2020-12-13
TN,311,0,2020-12-13
TX,1154,16,2020-12-13
UT,94,2,2020-12-13
VA,201,1,2020-12-13
VI,0,0,2020-12-13
VT,0,0,2020-12-13
WA,78,0,2020-12-13
WI,355,2,2020-12-13
WV,81,0,2020-12-13
ID,67,1,2020-12-13
IL,482,6,2020-12-13
IN,381,3,2020-12-13
KS,166,0,2020-12-13
KY,424,1,2020-12-13
LA,176,3,2020-12-13
MA,235,2,2020-12-13
MD,229,1,2020-12-13
ME,19,0,2020-12-13
MI,376,9,2020-12-13
MN,182,3,2020-12-13
MO,315,5,2020-12-13
MS,142,3,2020-12-13
WY,26,0,2020-12-13
