state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed
MA,2020-12-05,193,3
MD,2020-12-05,231,1
ME,2020-12-05,15,0
MI,2020-12-05,492,4
MN,2020-12-05,197,7
MO,2020-12-05,267,1
MS,2020-12-05,140,1
MT,2020-12-05,53,0
NC,2020-12-05,295,5
ND,2020-12-05,35,1
NE,2020-12-05,81,1
NH,2020-12-05,33,0
NJ,2020-12-05,443,5
NM,2020-12-05,139,2
NV,2020-12-05,165,3
NY,2020-12-05,887,8
OH,2020-12-05,702,12
OK,2020-12-05,326,5
OR,2020-12-05,69,0
PA,2020-12-05,711,8
PR,2020-12-05,45,1
RI,2020-12-05,32,1
SC,2020-12-05,112,0
SD,2020-12-05,49,1
TN,2020-12-05,317,2
TX,2020-12-05,1100,16
UT,2020-12-05,96,4
VA,2020-12-05,204,7
VI,2020-12-05,0,0
VT,2020-12-05,3,0
WA,2020-12-05,100,0
WI,2020-12-05,341,5
WV,2020-12-05,76,0
WY,2020-12-05,24,0
AK,2020-12-04,20,0
AL,2020-12-04,277,2
AR,2020-12-04,149,6
AZ,2020-12-04,290,2
CA,2020-12-04,1375,19
CO,2020-12-04,218,7
CT,2020-12-04,142,3
DC,2020-12-04,27,3
DE,2020-12-04,47,12
FL,2020-12-04,726,10
GA,2020-12-04,457,14
HI,2020-12-04,8,0
IA,2020-12-04,130,2
ID,2020-12-04,61,0
IL,2020-12-04,597,5
IN,2020-12-04,431,3
KS,2020-12-04,154,2
KY,2020-12-04,430,1
LA,2020-12-04,198,3
MA,2020-12-04,190,1
MD,2020-12-04,242,3
ME,2020-12-04,25,1
MI,2020-12-04,481,7
MN,2020-12-04,206,4
MO,2020-12-04,291,4
MS,2020-12-04,155,1
MT,2020-12-04,66,1
NC,2020-12-04,304,2
ND,2020-12-04,31,2
NE,2020-12-04,93,2
NH,2020-12-04,27,0
NJ,2020-12-04,403,4
NM,2020-12-04,144,1
NV,2020-12-04,161,2
NY,2020-12-04,868,10
OH,2020-12-04,736,8
OK,2020-12-04,333,2
OR,2020-12-04,75,3
PA,2020-12-04,730,4
PR,2020-12-04,49,2
RI,2020-12-04,37,2
SC,2020-12-04,142,0
SD,2020-12-04,50,1
TN,2020-12-04,336,1
TX,2020-12-04,1089,19
UT,2020-12-04,96,6
VA,2020-12-04,186,6
VI,2020-12-04,0,0
VT,2020-12-04,7,0
WA,2020-12-04,121,0
WI,2020-12-04,372,6
WV,2020-12-04,82,0
WY,2020-12-04,25,0
AK,2020-12-03,15,0
AL,2020-12-03,285,9
AR,2020-12-03,144,1
AZ,2020-12-03,285,1
CA,2020-12-03,1308,21
CO,2020-12-03,238,3
CT,2020-12-03,129,2
DC,2020-12-03,39,0
DE,2020-12-03,50,13
FL,2020-12-03,651,8
GA,2020-12-03,473,13
HI,2020-12-03,11,0
IA,2020-12-03,120,1
ID,2020-12-03,58,0
IL,2020-12-03,581,7
IN,2020-12-03,383,6
KS,2020-12-03,160,1
KY,2020-12-03,466,2
LA,2020-12-03,216,4
MA,2020-12-03,196,1
MD,2020-12-03,260,0
ME,2020-12-03,18,0
MI,2020-12-03,502,7
MN,2020-12-03,173,5
MO,2020-12-03,312,4
MS,2020-12-03,152,1
MT,2020-12-03,54,1
NC,2020-12-03,309,2
ND,2020-12-03,47,2
NE,2020-12-03,105,2
NH,2020-12-03,21,0
NJ,2020-12-03,398,3
NM,2020-12-03,155,0
NV,2020-12-03,176,1
NY,2020-12-03,829,8
OH,2020-12-03,715,8
OK,2020-12-03,318,2
OR,2020-12-03,67,1
PA,2020-12-03,707,11
PR,2020-12-03,41,0
RI,2020-12-03,33,0
SC,2020-12-03,136,0
SD,2020-12-03,48,2
TN,2020-12-03,342,5
TX,2020-12-03,1053,15
UT,2020-12-03,90,1
VA,2020-12-03,198,5
VI,2020-12-03,1,0
VT,2020-12-03,4,0
WA,2020-12-03,106,1
WI,2020-12-03,399,9
WV,2020-12-03,55,1
WY,2020-12-03,25,0
AK,2020-12-02,20,0
AL,2020-12-02,284,1
AR,2020-12-02,140,2
AZ,2020-12-02,303,0
CA,2020-12-02,1221,13
CO,2020-12-02,324,4
CT,2020-12-02,160,3
DC,2020-12-02,36,3
DE,2020-12-02,40,11
FL,2020-12-02,622,6
GA,2020-12-02,436,13
HI,2020-12-02,7,0
IA,2020-12-02,141,4
ID,2020-12-02,47,1
IL,2020-12-02,596,9
IN,2020-12-02,383,7
KS,2020-12-02,173,3
KY,2020-12-02,421,4
LA,2020-12-02,178,4
MA,2020-12-02,214,1
MD,2020-12-02,228,2
ME,2020-12-02,19,0
MI,2020-12-02,521,5
MN,2020-12-02,207,7
MO,2020-12-02,267,8
MS,2020-12-02,148,3
MT,2020-12-02,52,2
NC,2020-12-02,278,2
ND,2020-12-02,39,2
NE,2020-12-02,111,3
NH,2020-12-02,32,0
NJ,2020-12-02,397,2
NM,2020-12-02,122,0
NV,2020-12-02,179,0
NY,2020-12-02,871,4
OH,2020-12-02,750,12
OK,2020-12-02,376,2
OR,2020-12-02,70,0
PA,2020-12-02,775,9
PR,2020-12-02,48,1
RI,2020-12-02,25,2
SC,2020-12-02,145,1
SD,2020-12-02,50,1
TN,2020-12-02,298,3
TX,2020-12-02,1124,19
UT,2020-12-02,110,3
VA,2020-12-02,166,1
VI,2020-12-02,0,0
VT,2020-12-02,5,0
WA,2020-12-02,96,0
WI,2020-12-02,385,6
WV,2020-12-02,58,2
WY,2020-12-02,25,0
AK,2020-12-01,27,1
AL,2020-12-01,304,4
AR,2020-12-01,161,0
AZ,2020-12-01,353,0
CA,2020-12-01,1204,16
CO,2020-12-01,289,6
CT,2020-12-01,156,2
DC,2020-12-01,25,0
DE,2020-12-01,34,13
FL,2020-12-01,725,15
GA,2020-12-01,442,17
HI,2020-12-01,8,0
IA,2020-12-01,180,5
ID,2020-12-01,80,1
IL,2020-12-01,628,8
IN,2020-12-01,427,4
KS,2020-12-01,196,3
KY,2020-12-01,378,3
LA,2020-12-01,179,2
MA,2020-12-01,183,5
MD,2020-12-01,229,1
ME,2020-12-01,17,0
MI,2020-12-01,562,6
MN,2020-12-01,221,5
MO,2020-12-01,355,6
MS,2020-12-01,124,3
MT,2020-12-01,72,1
NC,2020-12-01,267,2
ND,2020-12-01,47,2
NE,2020-12-01,110,3
NH,2020-12-01,19,0
NJ,2020-12-01,511,6
NM,2020-12-01,134,3
NV,2020-12-01,166,3
NY,2020-12-01,733,7
OH,2020-12-01,860,10
OK,2020-12-01,330,1
OR,2020-12-01,81,0
PA,2020-12-01,726,7
PR,2020-12-01,33,0
RI,2020-12-01,43,2
SC,2020-12-01,140,4
SD,2020-12-01,52,1
TN,2020-12-01,305,4
TX,2020-12-01,1067,15
UT,2020-12-01,99,4
VA,2020-12-01,202,7
VI,2020-12-01,0,0
VT,2020-12-01,7,0
WA,2020-12-01,106,0
WI,2020-12-01,404,4
WV,2020-12-01,70,0
WY,2020-12-01,43,0
AK,2020-11-30,16,0
AL,2020-11-30,241,3
AR,2020-11-30,139,3
AZ,2020-11-30,318,0
CA,2020-11-30,1110,17
CO,2020-11-30,226,5
CT,2020-11-30,115,5
DC,2020-11-30,21,2
DE,2020-11-30,36,2
FL,2020-11-30,551,11
GA,2020-11-30,371,12
HI,2020-11-30,6,0
IA,2020-11-30,131,1
ID,2020-11-30,68,0
IL,2020-11-30,536,7
IN,2020-11-30,346,3
KS,2020-11-30,152,0
KY,2020-11-30,390,0
LA,2020-11-30,172,3
MA,2020-11-30,123,6
MD,2020-11-30,196,3
ME,2020-11-30,12,0
MI,2020-11-30,444,3
MN,2020-11-30,194,1
MO,2020-11-30,311,5
MS,2020-11-30,137,3
MT,2020-11-30,56,1
NC,2020-11-30,202,1
ND,2020-11-30,37,4
NE,2020-11-30,71,3
NH,2020-11-30,24,0
NJ,2020-11-30,298,1
NM,2020-11-30,127,0
NV,2020-11-30,146,0
NY,2020-11-30,648,12
OH,2020-11-30,639,4
OK,2020-11-30,318,3
OR,2020-11-30,66,0
PA,2020-11-30,634,6
PR,2020-11-30,220,0
RI,2020-11-30,37,1
SC,2020-11-30,107,0
SD,2020-11-30,50,2
TN,2020-11-30,263,3
TX,2020-11-30,999,16
UT,2020-11-30,81,0
VA,2020-11-30,172,6
VI,2020-11-30,0,0
VT,2020-11-30,4,0
WA,2020-11-30,86,0
WI,2020-11-30,360,2
WV,2020-11-30,67,1
WY,2020-11-30,32,0
AK,2020-11-29,17,1
AL,2020-11-29,220,1
AR,2020-11-29,128,0
AZ,2020-11-29,297,2
CA,2020-11-29,1131,12
CO,2020-11-29,268,0
CT,2020-11-29,98,2
DC,2020-11-29,22,2
DE,2020-11-29,31,8
FL,2020-11-29,611,9
GA,2020-11-29,431,10
HI,2020-11-29,3,0
IA,2020-11-29,144,0
ID,2020-11-29,64,1
IL,2020-11-29,500,6
IN,2020-11-29,331,4
KS,2020-11-29,167,0
KY,2020-11-29,416,2
LA,2020-11-29,169,4
MA,2020-11-29,159,1
MD,2020-11-29,203,1
ME,2020-11-29,13,0
MI,2020-11-29,554,7
MN,2020-11-29,197,3
MO,2020-11-29,282,3
MS,2020-11-29,110,1
MT,2020-11-29,57,1
NC,2020-11-29,237,2
ND,2020-11-29,31,1
NE,2020-11-29,96,1
NH,2020-11-29,22,0
NJ,2020-11-29,384,3
NM,2020-11-29,114,2
NV,2020-11-29,157,1
NY,2020-11-29,689,7
OH,2020-11-29,672,9
OK,2020-11-29,321,3
OR,2020-11-29,62,0
PA,2020-11-29,651,4
PR,2020-11-29,28,0
RI,2020-11-29,31,1
SC,2020-11-29,95,1
SD,2020-11-29,40,1
TN,2020-11-29,283,2
TX,2020-11-29,1008,21
UT,2020-11-29,88,4
VA,2020-11-29,157,0
VI,2020-11-29,0,0
VT,2020-11-29,4,0
WA,2020-11-29,91,0
WI,2020-11-29,400,3
WV,2020-11-29,88,1
WY,2020-11-29,34,0
AK,2020-11-28,15,0
AL,2020-11-28,245,1
AR,2020-11-28,129,1
AZ,2020-11-28,295,1
CA,2020-11-28,1159,8
CO,2020-11-28,262,0
CT,2020-11-28,136,2
DC,2020-11-28,13,1
DE,2020-11-28,32,10
FL,2020-11-28,686,13
GA,2020-11-28,402,8
HI,2020-11-28,4,0
IA,2020-11-28,133,3
ID,2020-11-28,70,0
IL,2020-11-28,589,4
IN,2020-11-28,399,3
KS,2020-11-28,168,0
KY,2020-11-28,315,1
LA,2020-11-28,168,3
MA,2020-11-28,140,1
MD,2020-11-28,241,1
ME,2020-11-28,18,0
MI,2020-11-28,598,11
MN,2020-11-28,253,3
MO,2020-11-28,300,2
MS,2020-11-28,133,0
MT,2020-11-28,68,0
NC,2020-11-28,255,6
ND,2020-11-28,47,2
NE,2020-11-28,107,1
NH,2020-11-28,28,0
NJ,2020-11-28,391,1
NM,2020-11-28,124,0
NV,2020-11-28,165,0
NY,2020-11-28,731,5
OH,2020-11-28,681,7
OK,2020-11-28,340,8
OR,2020-11-28,66,0
PA,2020-11-28,689,7
PR,2020-11-28,27,0
RI,2020-11-28,36,0
SC,2020-11-28,100,1
SD,2020-11-28,68,2
TN,2020-11-28,288,2
TX,2020-11-28,1043,10
UT,2020-11-28,86,1
VA,2020-11-28,164,0
VI,2020-11-28,1,0
VT,2020-11-28,3,0
WA,2020-11-28,99,1
WI,2020-11-28,416,4
WV,2020-11-28,68,1
WY,2020-11-28,35,0
AK,2020-11-27,12,1
AL,2020-11-27,204,1
AR,2020-11-27,106,0
AZ,2020-11-27,274,1
CA,2020-11-27,961,12
CO,2020-11-27,238,1
CT,2020-11-27,115,2
DC,2020-11-27,23,2
DE,2020-11-27,23,7
FL,2020-11-27,498,9
GA,2020-11-27,346,10
HI,2020-11-27,4,0
IA,2020-11-27,134,2
ID,2020-11-27,54,1
IL,2020-11-27,469,7
IN,2020-11-27,349,6
KS,2020-11-27,155,0
KY,2020-11-27,384,3
LA,2020-11-27,163,4
MA,2020-11-27,111,2
MD,2020-11-27,198,1
ME,2020-11-27,9,0
MI,2020-11-27,508,2
MN,2020-11-27,166,3
MO,2020-11-27,275,4
MS,2020-11-27,120,0
MT,2020-11-27,67,4
NC,2020-11-27,182,2
ND,2020-11-27,44,0
NE,2020-11-27,92,3
NH,2020-11-27,15,0
NJ,2020-11-27,309,6
NM,2020-11-27,105,1
NV,2020-11-27,116,1
NY,2020-11-27,665,7
OH,2020-11-27,586,7
OK,2020-11-27,320,2
OR,2020-11-27,71,1
PA,2020-11-27,525,6
PR,2020-11-27,30,0
RI,2020-11-27,22,1
SC,2020-11-27,87,2
SD,2020-11-27,41,0
TN,2020-11-27,219,1
TX,2020-11-27,942,8
UT,2020-11-27,68,1
VA,2020-11-27,147,0
VI,2020-11-27,0,0
VT,2020-11-27,4,0
WA,2020-11-27,89,1
WI,2020-11-27,345,0
WV,2020-11-27,60,1
WY,2020-11-27,29,0
AK,2020-11-26,28,0
AL,2020-11-26,225,2
AR,2020-11-26,141,1
AZ,2020-11-26,295,2
CA,2020-11-26,1055,6
CO,2020-11-26,287,4
CT,2020-11-26,105,4
DC,2020-11-26,20,1
DE,2020-11-26,32,8
FL,2020-11-26,581,8
GA,2020-11-26,369,11
HI,2020-11-26,6,0
IA,2020-11-26,178,2
ID,2020-11-26,66,1
IL,2020-11-26,626,7
IN,2020-11-26,382,13
KS,2020-11-26,192,0
KY,2020-11-26,396,0
LA,2020-11-26,170,2
MA,2020-11-26,133,1
MD,2020-11-26,210,0
ME,2020-11-26,14,0
MI,2020-11-26,564,4
MN,2020-11-26,225,1
MO,2020-11-26,323,3
MS,2020-11-26,132,0
MT,2020-11-26,68,1
NC,2020-11-26,228,3
ND,2020-11-26,36,2
NE,2020-11-26,120,1
NH,2020-11-26,19,0
NJ,2020-11-26,357,3
NM,2020-11-26,120,2
NV,2020-11-26,149,1
NY,2020-11-26,669,5
OH,2020-11-26,619,7
OK,2020-11-26,348,5
OR,2020-11-26,69,0
PA,2020-11-26,618,9
PR,2020-11-26,40,2
RI,2020-11-26,35,1
SC,2020-11-26,98,1
SD,2020-11-26,44,1
TN,2020-11-26,289,4
TX,2020-11-26,1044,15
UT,2020-11-26,101,3
VA,2020-11-26,170,4
VI,2020-11-26,0,0
VT,2020-11-26,1,0
WA,2020-11-26,103,0
WI,2020-11-26,426,2
WV,2020-11-26,77,2
WY,2020-11-26,34,1
AK,2020-11-25,28,2
AL,2020-11-25,240,3
AR,2020-11-25,138,3
AZ,2020-11-25,302,1
CA,2020-11-25,1003,11
CO,2020-11-25,310,8
CT,2020-11-25,106,6
DC,2020-11-25,16,1
DE,2020-11-25,27,5
FL,2020-11-25,591,7
GA,2020-11-25,374,12
HI,2020-11-25,4,0
IA,2020-11-25,192,4
ID,2020-11-25,66,1
IL,2020-11-25,669,9
IN,2020-11-25,383,8
KS,2020-11-25,175,1
KY,2020-11-25,451,2
LA,2020-11-25,172,1
MA,2020-11-25,117,2
MD,2020-11-25,225,1
ME,2020-11-25,12,1
MI,2020-11-25,562,2
MN,2020-11-25,251,6
MO,2020-11-25,328,5
MS,2020-11-25,133,0
MT,2020-11-25,100,2
NC,2020-11-25,217,1
ND,2020-11-25,51,1
NE,2020-11-25,126,0
NH,2020-11-25,26,0
NJ,2020-11-25,366,5
NM,2020-11-25,118,0
NV,2020-11-25,159,1
NY,2020-11-25,665,10
OH,2020-11-25,686,8
OK,2020-11-25,361,5
OR,2020-11-25,67,2
PA,2020-11-25,574,3
PR,2020-11-25,43,1
RI,2020-11-25,25,1
SC,2020-11-25,98,0
SD,2020-11-25,64,3
TN,2020-11-25,284,6
TX,2020-11-25,1084,18
UT,2020-11-25,99,5
VA,2020-11-25,188,4
VI,2020-11-25,0,0
VT,2020-11-25,6,0
WA,2020-11-25,101,0
WI,2020-11-25,425,2
WV,2020-11-25,76,0
WY,2020-11-25,34,0
AK,2020-11-24,27,0
AL,2020-11-24,215,2
AR,2020-11-24,161,3
AZ,2020-11-24,300,1
CA,2020-11-24,995,9
CO,2020-11-24,307,7
CT,2020-11-24,136,3
DC,2020-11-24,17,2
DE,2020-11-24,27,7
FL,2020-11-24,586,9
GA,2020-11-24,440,11
HI,2020-11-24,7,0
IA,2020-11-24,196,0
ID,2020-11-24,63,0
IL,2020-11-24,658,3
IN,2020-11-24,387,7
KS,2020-11-24,186,0
KY,2020-11-24,402,2
LA,2020-11-24,176,3
MA,2020-11-24,125,0
MD,2020-11-24,236,3
ME,2020-11-24,21,0
MI,2020-11-24,639,5
MN,2020-11-24,241,6
MO,2020-11-24,324,2
MS,2020-11-24,143,4
MT,2020-11-24,75,2
NC,2020-11-24,250,4
ND,2020-11-24,51,0
NE,2020-11-24,105,0
NH,2020-11-24,17,1
NJ,2020-11-24,382,4
NM,2020-11-24,119,0
NV,2020-11-24,166,2
NY,2020-11-24,706,2
OH,2020-11-24,750,5
OK,2020-11-24,382,5
OR,2020-11-24,64,0
PA,2020-11-24,583,5
PR,2020-11-24,29,0
RI,2020-11-24,36,0
SC,2020-11-24,97,0
SD,2020-11-24,76,1
TN,2020-11-24,302,1
TX,2020-11-24,1085,18
UT,2020-11-24,95,2
VA,2020-11-24,169,2
VI,2020-11-24,0,0
VT,2020-11-24,5,0
WA,2020-11-24,124,0
WI,2020-11-24,476,6
WV,2020-11-24,82,1
WY,2020-11-24,46,0
AK,2020-11-23,17,0
AL,2020-11-23,178,1
AR,2020-11-23,106,0
AZ,2020-11-23,237,1
CA,2020-11-23,826,12
CO,2020-11-23,240,2
CT,2020-11-23,104,2
DC,2020-11-23,18,0
DE,2020-11-23,25,5
FL,2020-11-23,517,7
GA,2020-11-23,297,8
HI,2020-11-23,5,0
IA,2020-11-23,165,5
ID,2020-11-23,61,0
IL,2020-11-23,606,9
IN,2020-11-23,328,7
KS,2020-11-23,159,1
KY,2020-11-23,370,3
LA,2020-11-23,129,2
MA,2020-11-23,111,2
MD,2020-11-23,186,0
ME,2020-11-23,13,0
MI,2020-11-23,503,9
MN,2020-11-23,212,3
MO,2020-11-23,264,2
MS,2020-11-23,103,1
MT,2020-11-23,64,1
NC,2020-11-23,204,1
ND,2020-11-23,47,1
NE,2020-11-23,93,3
NH,2020-11-23,14,0
NJ,2020-11-23,306,2
NM,2020-11-23,117,1
NV,2020-11-23,145,2
NY,2020-11-23,587,4
OH,2020-11-23,596,8
OK,2020-11-23,306,5
OR,2020-11-23,48,1
PA,2020-11-23,534,5
PR,2020-11-23,26,1
RI,2020-11-23,20,0
SC,2020-11-23,74,0
SD,2020-11-23,56,2
TN,2020-11-23,251,4
TX,2020-11-23,965,17
UT,2020-11-23,89,2
VA,2020-11-23,134,0
VI,2020-11-23,0,0
VT,2020-11-23,2,1
WA,2020-11-23,84,0
WI,2020-11-23,422,3
WV,2020-11-23,46,1
WY,2020-11-23,31,0
AK,2020-11-22,23,1
AL,2020-11-22,197,1
AR,2020-11-22,126,4
AZ,2020-11-22,272,2
CA,2020-11-22,797,14
CO,2020-11-22,221,0
CT,2020-11-22,87,0
DC,2020-11-22,12,2
DE,2020-11-22,14,4
FL,2020-11-22,550,4
GA,2020-11-22,362,7
HI,2020-11-22,2,0
IA,2020-11-22,140,0
ID,2020-11-22,59,0
IL,2020-11-22,531,2
IN,2020-11-22,355,8
KS,2020-11-22,162,2
KY,2020-11-22,326,2
LA,2020-11-22,138,2
MA,2020-11-22,122,1
MD,2020-11-22,202,1
ME,2020-11-22,12,0
MI,2020-11-22,395,3
MN,2020-11-22,197,3
MO,2020-11-22,285,2
MS,2020-11-22,114,2
MT,2020-11-22,79,0
NC,2020-11-22,203,2
ND,2020-11-22,43,0
NE,2020-11-22,109,3
NH,2020-11-22,13,0
NJ,2020-11-22,336,4
NM,2020-11-22,108,0
NV,2020-11-22,137,1
NY,2020-11-22,550,9
OH,2020-11-22,630,2
OK,2020-11-22,305,3
OR,2020-11-22,49,0
PA,2020-11-22,483,3
PR,2020-11-22,30,1
RI,2020-11-22,16,0
SC,2020-11-22,101,0
SD,2020-11-22,50,0
TN,2020-11-22,246,2
TX,2020-11-22,1010,20
UT,2020-11-22,76,3
VA,2020-11-22,132,4
VI,2020-11-22,0,0
VT,2020-11-22,5,0
WA,2020-11-22,91,0
WI,2020-11-22,377,4
WV,2020-11-22,63,2
WY,2020-11-22,29,0
AK,2020-11-21,24,1
AL,2020-11-21,185,2
AR,2020-11-21,133,0
AZ,2020-11-21,244,0
CA,2020-11-21,789,14
CO,2020-11-21,273,2
CT,2020-11-21,74,1
DC,2020-11-21,26,0
DE,2020-11-21,34,4
FL,2020-11-21,498,7
GA,2020-11-21,401,6
HI,2020-11-21,6,0
IA,2020-11-21,188,2
ID,2020-11-21,41,0
IL,2020-11-21,637,5
IN,2020-11-21,359,6
KS,2020-11-21,208,1
KY,2020-11-21,358,1
LA,2020-11-21,140,2
MA,2020-11-21,132,8
MD,2020-11-21,167,4
ME,2020-11-21,7,0
MI,2020-11-21,484,7
MN,2020-11-21,206,5
MO,2020-11-21,336,6
MS,2020-11-21,129,1
MT,2020-11-21,86,3
NC,2020-11-21,227,2
ND,2020-11-21,50,1
NE,2020-11-21,108,2
NH,2020-11-21,12,0
NJ,2020-11-21,361,2
NM,2020-11-21,146,11
NV,2020-11-21,112,0
NY,2020-11-21,639,11
OH,2020-11-21,685,5
OK,2020-11-21,373,5
OR,2020-11-21,61,0
PA,2020-11-21,542,3
PR,2020-11-21,50,2
RI,2020-11-21,30,0
SC,2020-11-21,84,1
SD,2020-11-21,67,0
TN,2020-11-21,274,2
TX,2020-11-21,1207,28
UT,2020-11-21,81,1
VA,2020-11-21,135,2
VI,2020-11-21,1,0
VT,2020-11-21,4,0
WA,2020-11-21,99,0
WI,2020-11-21,426,3
WV,2020-11-21,76,1
WY,2020-11-21,44,0
AK,2020-11-20,21,2
AL,2020-11-20,192,0
AR,2020-11-20,130,3
AZ,2020-11-20,283,3
CA,2020-11-20,804,16
CO,2020-11-20,275,6
CT,2020-11-20,103,1
DC,2020-11-20,11,1
DE,2020-11-20,20,5
FL,2020-11-20,583,11
GA,2020-11-20,389,6
HI,2020-11-20,10,0
IA,2020-11-20,196,6
ID,2020-11-20,63,4
IL,2020-11-20,671,9
IN,2020-11-20,374,3
KS,2020-11-20,189,1
KY,2020-11-20,392,2
LA,2020-11-20,145,1
MA,2020-11-20,108,4
MD,2020-11-20,180,3
ME,2020-11-20,19,0
MI,2020-11-20,519,1
MN,2020-11-20,264,6
MO,2020-11-20,367,2
MS,2020-11-20,146,0
MT,2020-11-20,95,1
NC,2020-11-20,208,1
ND,2020-11-20,63,0
NE,2020-11-20,140,2
NH,2020-11-20,12,0
NJ,2020-11-20,333,3
NM,2020-11-20,118,1
NV,2020-11-20,134,1
NY,2020-11-20,592,8
OH,2020-11-20,648,7
OK,2020-11-20,364,5
OR,2020-11-20,40,0
PA,2020-11-20,516,2
PR,2020-11-20,52,1
RI,2020-11-20,24,1
SC,2020-11-20,82,1
SD,2020-11-20,71,1
TN,2020-11-20,268,0
TX,2020-11-20,1140,26
UT,2020-11-20,88,5
VA,2020-11-20,134,0
VI,2020-11-20,0,0
VT,2020-11-20,3,0
WA,2020-11-20,92,2
WI,2020-11-20,449,1
WV,2020-11-20,63,0
WY,2020-11-20,34,1
AK,2020-11-19,9,1
AL,2020-11-19,222,2
AR,2020-11-19,154,1
AZ,2020-11-19,243,3
CA,2020-11-19,709,12
CO,2020-11-19,301,2
CT,2020-11-19,95,1
DC,2020-11-19,16,2
DE,2020-11-19,18,3
FL,2020-11-19,524,9
GA,2020-11-19,405,3
HI,2020-11-19,5,0
IA,2020-11-19,214,6
ID,2020-11-19,66,0
IL,2020-11-19,677,6
IN,2020-11-19,337,5
KS,2020-11-19,159,1
KY,2020-11-19,338,1
LA,2020-11-19,160,2
MA,2020-11-19,129,2
MD,2020-11-19,185,2
ME,2020-11-19,16,0
MI,2020-11-19,465,0
MN,2020-11-19,269,5
MO,2020-11-19,351,0
MS,2020-11-19,126,4
MT,2020-11-19,91,2
NC,2020-11-19,220,2
ND,2020-11-19,69,0
NE,2020-11-19,145,4
NH,2020-11-19,13,1
NJ,2020-11-19,337,3
NM,2020-11-19,131,2
NV,2020-11-19,147,2
NY,2020-11-19,581,6
OH,2020-11-19,658,9
OK,2020-11-19,347,4
OR,2020-11-19,52,0
PA,2020-11-19,478,9
PR,2020-11-19,46,1
RI,2020-11-19,22,0
SC,2020-11-19,78,1
SD,2020-11-19,80,2
TN,2020-11-19,264,2
TX,2020-11-19,1176,24
UT,2020-11-19,120,2
VA,2020-11-19,139,2
VI,2020-11-19,0,0
VT,2020-11-19,3,0
WA,2020-11-19,107,0
WI,2020-11-19,474,3
WV,2020-11-19,55,0
WY,2020-11-19,42,2
AK,2020-11-18,13,0
AL,2020-11-18,198,4
AR,2020-11-18,138,1
AZ,2020-11-18,223,7
CA,2020-11-18,713,5
CO,2020-11-18,273,8
CT,2020-11-18,125,1
DC,2020-11-18,22,0
DE,2020-11-18,17,4
FL,2020-11-18,516,3
GA,2020-11-18,406,7
HI,2020-11-18,12,0
IA,2020-11-18,237,2
ID,2020-11-18,63,0
IL,2020-11-18,666,6
IN,2020-11-18,337,10
KS,2020-11-18,184,2
KY,2020-11-18,357,3
LA,2020-11-18,166,5
MA,2020-11-18,142,3
MD,2020-11-18,202,3
ME,2020-11-18,18,0
MI,2020-11-18,490,3
MN,2020-11-18,245,6
MO,2020-11-18,349,6
MS,2020-11-18,98,1
MT,2020-11-18,90,1
NC,2020-11-18,224,3
ND,2020-11-18,65,0
NE,2020-11-18,140,2
NH,2020-11-18,9,0
NJ,2020-11-18,316,2
NM,2020-11-18,119,2
NV,2020-11-18,141,1
NY,2020-11-18,556,5
